3.80133 0.00786587 -0.150077  4.42407 -2.7865  -0.00796342 -0.149855  2.58162 -2.79569  
3.86416 0.00838966 -0.149409  4.39748 -2.75093  -0.00846018 -0.149223  2.60694 -2.75869  
3.92699 0.00887765 -0.148726  4.372 -2.71624  -0.00892841 -0.14858  2.63142 -2.7224  
3.98982 0.00933142 -0.14803  4.34758 -2.68241  -0.00936938 -0.147926  2.6551 -2.68681  
4.05265 0.00975256 -0.147323  4.32417 -2.64941  -0.00978429 -0.147261  2.67801 -2.65194  
4.11549 0.0101426 -0.146605  4.30172 -2.61721  -0.0101742 -0.146587  2.7002 -2.61778  
4.17832 0.0105031 -0.145877  4.28021 -2.58579  -0.0105403 -0.145903  2.7217 -2.58433  
4.24115 0.0108355 -0.145142  4.25957 -2.55512  -0.0108834 -0.14521  2.74254 -2.55159  
4.30398 0.0111412 -0.144401  4.23979 -2.52517  -0.0112044 -0.14451  2.76275 -2.51956  
4.36681 0.0114217 -0.143653  4.2208 -2.49592  -0.0115044 -0.143801  2.78234 -2.48824  
4.42965 0.0116783 -0.1429  4.20259 -2.46733  -0.011784 -0.143086  2.80135 -2.45762  
4.49248 0.0119123 -0.142144  4.18511 -2.43939  -0.0120442 -0.142364  2.8198 -2.4277  
4.55531 0.012125 -0.141384  4.16833 -2.41207  -0.0122857 -0.141636  2.83771 -2.39846  
4.61814 0.0123176 -0.140622  4.15222 -2.38535  -0.0125091 -0.140902  2.85509 -2.36991  
4.68097 0.0124913 -0.139859  4.13674 -2.3592  -0.0127154 -0.140164  2.87197 -2.34203  
4.7438 0.0126473 -0.139094  4.12187 -2.33359  -0.012905 -0.139421  2.88835 -2.31481  
4.80664 0.0127865 -0.138329  4.10757 -2.30852  -0.0130787 -0.138674  2.90426 -2.28826  
4.86947 0.01291 -0.137564  4.09382 -2.28395  -0.0132371 -0.137924  2.91971 -2.26234  
4.9323 0.0130188 -0.1368  4.08059 -2.25988  -0.0133808 -0.137171  2.93471 -2.23707  
4.99513 0.0131139 -0.136037  4.06785 -2.23627  -0.0135105 -0.136416  2.94928 -2.21241  
5.05796 0.013196 -0.135276  4.05558 -2.21311  -0.0136268 -0.135659  2.96342 -2.18837  
5.1208 0.0132661 -0.134516  4.04376 -2.19038  -0.0137301 -0.1349  2.97715 -2.16493  
5.18363 0.013325 -0.133759  4.03237 -2.16807  -0.0138211 -0.13414  2.99048 -2.14207  
5.24646 0.0133733 -0.133004  4.02137 -2.14616  -0.0139003 -0.13338  3.00341 -2.11979  
5.30929 0.0134119 -0.132252  4.01076 -2.12464  -0.0139682 -0.132619  3.01596 -2.09806  
5.37212 0.0134413 -0.131504  4.0005 -2.10349  -0.0140253 -0.131859  3.02814 -2.07688  
5.43496 0.0134623 -0.130759  3.99059 -2.0827  -0.0140722 -0.1311  3.03996 -2.05624  
5.49779 0.0134753 -0.130017  3.981 -2.06226  -0.0141093 -0.130341  3.05142 -2.03611  
5.56062 0.0134811 -0.129279  3.97172 -2.04215  -0.014137 -0.129584  3.06253 -2.01649  
5.62345 0.01348 -0.128545  3.96273 -2.02236  -0.0141558 -0.128828  3.07331 -1.99736  
5.68628 0.0134726 -0.127815  3.95401 -2.00289  -0.0141662 -0.128075  3.08375 -1.97871  
5.74911 0.0134594 -0.127089  3.94555 -1.98372  -0.0141686 -0.127324  3.09387 -1.96052  
5.81195 0.0134408 -0.126367  3.93734 -1.96484  -0.0141634 -0.126575  3.10367 -1.94278  
5.87478 0.0134172 -0.12565  3.92936 -1.94625  -0.0141509 -0.12583  3.11316 -1.92547  
5.93761 0.013389 -0.124938  3.9216 -1.92794  -0.0141317 -0.125087  3.12234 -1.90858  
6.00044 0.0133565 -0.124229  3.91405 -1.9099  -0.014106 -0.124349  3.13124 -1.8921  
6.06327 0.0133201 -0.123526  3.9067 -1.89212  -0.0140743 -0.123613  3.13984 -1.87601  
6.12611 0.0132801 -0.122827  3.89953 -1.87459  -0.0140368 -0.122882  3.14816 -1.8603  
6.18894 0.0132367 -0.122133  3.89254 -1.85732  -0.0139939 -0.122155  3.1562 -1.84496  
6.25177 0.0131903 -0.121443  3.88572 -1.84029  -0.0139459 -0.121432  3.16398 -1.82997  
6.3146 0.013141 -0.120759  3.87905 -1.8235  -0.0138932 -0.120713  3.17149 -1.81532  
6.37743 0.0130892 -0.120079  3.87254 -1.80694  -0.013836 -0.119999  3.17874 -1.801  
6.44026 0.0130351 -0.119403  3.86616 -1.79062  -0.0137747 -0.11929  3.18574 -1.78699  
6.5031 0.0129787 -0.118733  3.85992 -1.77451  -0.0137094 -0.118586  3.1925 -1.77328  
6.56593 0.0129204 -0.118068  3.8538 -1.75863  -0.0136406 -0.117887  3.19902 -1.75986  
6.62876 0.0128603 -0.117407  3.84781 -1.74296  -0.0135683 -0.117193  3.20531 -1.74673  
6.69159 0.0127986 -0.116751  3.84193 -1.72751  -0.013493 -0.116504  3.21137 -1.73386  
6.75442 0.0127353 -0.1161  3.83616 -1.71226  -0.0134148 -0.11582  3.21721 -1.72124  
6.81726 0.0126708 -0.115454  3.83049 -1.69722  -0.0133339 -0.115142  3.22284 -1.70887  
6.88009 0.012605 -0.114812  3.82492 -1.68238  -0.0132505 -0.11447  3.22825 -1.69674  
6.94292 0.0125381 -0.114175  3.81944 -1.66774  -0.0131649 -0.113802  3.23346 -1.68483  
7.00575 0.0124702 -0.113543  3.81405 -1.6533  -0.0130773 -0.113141  3.23848 -1.67314  
7.06858 0.0124014 -0.112916  3.80875 -1.63905  -0.0129877 -0.112485  3.2433 -1.66165  
7.13142 0.0123319 -0.112293  3.80353 -1.625  -0.0128966 -0.111835  3.24793 -1.65036  
7.19425 0.0122616 -0.111675  3.79839 -1.61113  -0.0128038 -0.11119  3.25239 -1.63925  
7.25708 0.0121907 -0.111062  3.79332 -1.59745  -0.0127098 -0.110551  3.25666 -1.62832  
7.31991 0.0121193 -0.110453  3.78832 -1.58395  -0.0126145 -0.109918  3.26077 -1.61757  
7.38274 0.0120474 -0.109849  3.7834 -1.57064  -0.0125182 -0.10929  3.26471 -1.60697  
7.44557 0.0119751 -0.10925  3.77853 -1.5575  -0.012421 -0.108669  3.26849 -1.59653  
7.50841 0.0119024 -0.108655  3.77374 -1.54455  -0.0123229 -0.108053  3.27212 -1.58623  
7.57124 0.0118294 -0.108065  3.769 -1.53177  -0.0122242 -0.107442  3.27559 -1.57608  
7.63407 0.0117561 -0.107479  3.76433 -1.51916  -0.012125 -0.106838  3.27892 -1.56606  
7.6969 0.0116827 -0.106898  3.75971 -1.50673  -0.0120253 -0.106239  3.28211 -1.55616  
7.75973 0.0116091 -0.106321  3.75515 -1.49447  -0.0119253 -0.105646  3.28517 -1.54638  
7.82257 0.0115354 -0.105749  3.75065 -1.48237  -0.0118251 -0.105058  3.28809 -1.53672  
7.8854 0.0114616 -0.105181  3.7462 -1.47045  -0.0117247 -0.104476  3.29089 -1.52717  
7.94823 0.0113877 -0.104617  3.7418 -1.45868  -0.0116242 -0.1039  3.29356 -1.51772  
8.01106 0.0113138 -0.104058  3.73745 -1.44709  -0.0115238 -0.103329  3.29612 -1.50836  
8.07389 0.01124 -0.103503  3.73315 -1.43565  -0.0114235 -0.102763  3.29857 -1.4991  
8.13672 0.0111662 -0.102953  3.7289 -1.42437  -0.0113233 -0.102203  3.30091 -1.48993  
8.19956 0.0110924 -0.102406  3.7247 -1.41325  -0.0112234 -0.101649  3.30314 -1.48084  
8.26239 0.0110188 -0.101864  3.72055 -1.40229  -0.0111238 -0.1011  3.30527 -1.47182  
8.32522 0.0109452 -0.101326  3.71644 -1.39149  -0.0110246 -0.100556  3.30731 -1.46289  
8.38805 0.0108718 -0.100793  3.71238 -1.38083  -0.0109257 -0.100017  3.30926 -1.45402  
8.45088 0.0107985 -0.100263  3.70837 -1.37033  -0.0108274 -0.0994838  3.31111 -1.44522  
8.51372 0.0107254 -0.099738  3.7044 -1.35998  -0.0107295 -0.0989557  3.31289 -1.43649  
8.57655 0.0106525 -0.0992167  3.70047 -1.34978  -0.0106322 -0.0984326  3.31458 -1.42782  
8.63938 0.0105797 -0.0986996  3.69659 -1.33972  -0.0105355 -0.0979146  3.31619 -1.4192  
8.70221 0.0105072 -0.0981865  3.69276 -1.32981  -0.0104394 -0.0974016  3.31774 -1.41065  
8.76504 0.0104349 -0.0976774  3.68896 -1.32004  -0.010344 -0.0968936  3.31921 -1.40214  
8.82788 0.0103628 -0.0971723  3.68521 -1.31042  -0.0102493 -0.0963904  3.32061 -1.39368  
8.89071 0.010291 -0.0966711  3.68151 -1.30093  -0.0101554 -0.0958921  3.32195 -1.38527  
8.95354 0.0102195 -0.0961739  3.67784 -1.29159  -0.0100622 -0.0953986  3.32323 -1.37691  
9.01637 0.0101482 -0.0956807  3.67422 -1.28238  -0.00996972 -0.0949098  3.32445 -1.36859  
9.0792 0.0100772 -0.0951913  3.67064 -1.2733  -0.00987808 -0.0944257  3.32562 -1.36032  
9.14203 0.0100064 -0.0947057  3.66711 -1.26436  -0.00978725 -0.0939462  3.32674 -1.35208  
9.20487 0.00993601 -0.094224  3.66361 -1.25555  -0.00969726 -0.0934712  3.3278 -1.34388  
9.2677 0.00986587 -0.0937461  3.66016 -1.24688  -0.00960812 -0.0930007  3.32883 -1.33572  
9.33053 0.00979605 -0.093272  3.65675 -1.23833  -0.00951984 -0.0925347  3.3298 -1.32759  
9.39336 0.00972654 -0.0928016  3.65338 -1.2299  -0.00943244 -0.0920731  3.33074 -1.3195  
9.45619 0.00965734 -0.0923349  3.65005 -1.22161  -0.00934592 -0.0916158  3.33164 -1.31145  
9.51903 0.00958848 -0.0918719  3.64676 -1.21344  -0.00926029 -0.0911627  3.3325 -1.30342  
9.58186 0.00951995 -0.0914126  3.64352 -1.20538  -0.00917557 -0.0907139  3.33333 -1.29543  
9.64469 0.00945175 -0.0909569  3.64032 -1.19745  -0.00909175 -0.0902693  3.33412 -1.28746  
9.70752 0.0093839 -0.0905048  3.63715 -1.18964  -0.00900884 -0.0898287  3.33489 -1.27953  
9.77035 0.00931639 -0.0900563  3.63403 -1.18195  -0.00892684 -0.0893922  3.33563 -1.27163  
9.83319 0.00924923 -0.0896113  3.63096 -1.17437  -0.00884576 -0.0889597  3.33634 -1.26375  
9.89602 0.00918242 -0.0891699  3.62792 -1.16691  -0.0087656 -0.0885311  3.33703 -1.2559  
9.95885 0.00911598 -0.0887319  3.62492 -1.15956  -0.00868635 -0.0881064  3.33769 -1.24808  
10.0217 0.00904989 -0.0882975  3.62197 -1.15232  -0.00860802 -0.0876856  3.33834 -1.24029  
