3.549999698556 0.005380317037929 -0.1525706884911   -0.005662073556906 -0.1522543279748   
3.612831551628 0.0060635172965 -0.1519774546029   -0.006287768718372 -0.1516749429711   
3.6756634047 0.006704425067801 -0.1513628795305   -0.006878756901204 -0.1510814986961   
3.738495257772 0.007304667727451 -0.1507287576716   -0.007436775000786 -0.1504746643826   
3.801327110844 0.007865872837344 -0.1500768104845   -0.007963422734267 -0.149855075394   
3.864158963915 0.008389662489561 -0.1494086837447   -0.008460177302873 -0.1492233416524   
3.926990816987 0.008877647669887 -0.1487259456903   -0.00892840678332 -0.1485800543695   
3.989822670059 0.009331422837976 -0.148030085981   -0.009369382264208 -0.1479257913106   
4.052654523131 0.009752560798882 -0.1473225153889   -0.009784288762757 -0.1472611208035   
4.115486376203 0.01014260797032 -0.1466045661367   -0.01017423502334 -0.1465866046811   
4.178318229274 0.01050308007983 -0.145877492802   -0.01054026219797 -0.1459028003298   
4.241150082346 0.01083545834037 -0.145142473708   -0.01088335158081 -0.1452102619934   
4.303981935418 0.01114118611728 -0.144400612724   -0.0112044313973 -0.1445095414674   
4.36681378849 0.01142166607091 -0.143652941406   -0.01150438274744 -0.1438011883006   
4.429645641562 0.01167825778773 -0.1429004214124   -0.0117840448123 -0.1430857496055   
4.492477494633 0.01191227586758 -0.1421439471348   -0.01204421935092 -0.1423637695673   
4.555309347705 0.01212498844561 -0.1413843484916   -0.01228567459521 -0.1416357887257   
4.618141200777 0.01231761612408 -0.140622393836   -0.01250914859276 -0.1409023430947   
4.680973053849 0.01249133127829 -0.1398587929373   -0.01271535206214 -0.1401639631752   
4.743804906921 0.01264725770897 -0.1390941999976   -0.01290497082079 -0.1394211729059   
4.806636759992 0.01278647060488 -0.1383292166741   -0.01307866784386 -0.1386744885887   
4.869468613064 0.01290999678075 -0.1375643950784   -0.01323708498892 -0.1379244178217   
4.932300466136 0.01301881516344 -0.1368002407308   -0.01338084444053 -0.1371714584619   
4.995132319208 0.01311385749492 -0.1360372154505   -0.0135105499211 -0.1364160976386   
5.05796417228 0.01319600921598 -0.1352757401665   -0.01362678767997 -0.1356588108316   
5.120796025351 0.01326611051221 -0.1345161976368   -0.01373012732181 -0.1349000610251   
5.183627878423 0.01332495749133 -0.1337589350656   -0.01382112247605 -0.134140297945   
5.246459731495 0.01337330346796 -0.1330042666127   -0.0139003113516 -0.1333799573844   
5.309291584567 0.0134118603373 -0.132252475789   -0.01396821718781 -0.1326194606196   
5.372123437639 0.01344130001583 -0.1315038177354   -0.01402534862121 -0.1318592139176   
5.43495529071 0.01346225592909 -0.1307585213831   -0.01407219999091 -0.1310996081332   
5.497787143782 0.01347532453908 -0.1300167914953   -0.01410925159033 -0.1303410183946   
5.560618996854 0.01348106688628 -0.1292788105916   -0.01413696987669 -0.1295838038733   
5.623450849926 0.01348001013945 -0.1285447407559   -0.01415580765445 -0.1288283076347   
5.686282702998 0.01347264914494 -0.127814725331   -0.01416620423747 -0.1280748565644   
5.749114556069 0.013459447961 -0.1270888905029   -0.01416858559754 -0.127323761366   
5.811946409141 0.01344084136974 -0.1263673467791   -0.01416336450122 -0.1265753166246   
5.874778262213 0.01341723636455 -0.1256501903638   -0.01415094065067 -0.1258298009298   
5.937610115285 0.01338901360099 -0.1249375044354   -0.0141317008189 -0.1250874770552   
6.000441968357 0.01335652881017 -0.1242293603298   -0.0141060189934 -0.1243485921858   
6.063273821428 0.01332011417098 -0.1235258186358   -0.0140742565226 -0.1236133781911   
6.1261056745 0.01328007963595 -0.1228269302053   -0.01403676227212 -0.1228820519365   
6.188937527572 0.0132367142102 -0.1221327370842   -0.01399387279052 -0.1221548156292   
6.251769380644 0.01319028717993 -0.1214432733686   -0.01394591248297 -0.1214318571936   
6.314601233715 0.01314104929493 -0.1207585659905   -0.01389319379546 -0.1207133506719   
6.377433086787 0.01308923389343 -0.1200786354378   -0.01383601741059 -0.1199994566457   
6.440264939859 0.01303505798331 -0.1194034964122   -0.01377467245127 -0.1192903226744   
6.503096792931 0.01297872326652 -0.118733158431   -0.01370943669717 -0.1185860837472   
6.565928646003 0.01292041711861 -0.1180676263737   -0.01364057680456 -0.1178868627447   
6.628760499074 0.01286031351433 -0.1174069009812   -0.01356834854131 -0.1171927709085   
6.691592352146 0.01279857390726 -0.1167509793072   -0.01349299702473 -0.1165039083135   
6.754424205218 0.0127353480622 -0.1160998551289   -0.01341475696825 -0.1158203643432   
6.81725605829 0.0126707748407 -0.1154535193174   -0.01333385293241 -0.1151422181635   
6.880087911362 0.01260498294358 -0.1148119601727   -0.01325049958305 -0.1144695391941   
6.942919764433 0.01253809160863 -0.1141751637255   -0.01316490195261 -0.1138023875749   
7.005751617505 0.01247021126903 -0.113543114009   -0.0130772557037 -0.1131408146267   
7.068583470577 0.01240144417132 -0.1129157933023   -0.0129877473975 -0.1124848633042   
7.131415323649 0.01233188495463 -0.1122931823488   -0.01289655476154 -0.1118345686397   
7.194247176721 0.01226162119637 -0.1116752605517   -0.01280384695915 -0.1111899581776   
7.257079029792 0.01219073392009 -0.1110620061479   -0.01270978485939 -0.1105510523971   
7.319910882864 0.0121192980723 -0.1104533963633   -0.01261452130582 -0.1099178651245   
7.382742735936 0.01204738296861 -0.1098494075504   -0.01251820138401 -0.1092904039324   
7.445574589008 0.01197505270905 -0.1092500153099   -0.0124209626877 -0.1086686705264   
7.50840644208 0.01190236656552 -0.108655194599   -0.01232293558172 -0.1080526611192   
7.571238295151 0.0118293793445 -0.1080649198262   -0.01222424346158 -0.1074423667911   
7.634070148223 0.0117561417223 -0.1074791649346   -0.01212500301106 -0.1068377738364   
7.696902001295 0.01168270055901 -0.1068979034749   -0.01202532445469 -0.1062388640974   
7.759733854367 0.01160909918867 -0.1063211086696   -0.01192531180602 -0.1056456152838   
7.822565707439 0.01153537768987 -0.1057487534686   -0.01182506311189 -0.105058001279   
