2.293362637121 0.1234989056346 -0.2018125579315   -0.005863004955467 -0.2541847024445   -0.1101048804539 -0.1767176664123   
2.356194490192 0.1200433734366 -0.2000045269218   -0.005732438363569 -0.2502912111434   -0.1077517865818 -0.1758513624184   
2.419026343264 0.1167431895808 -0.198214873117   -0.005605963578291 -0.2465405487295   -0.1054761272644 -0.1749742105837   
2.481858196336 0.1135888229168 -0.1964441331854   -0.005482507922679 -0.2429232521078   -0.103273357922 -0.1740883397943   
2.544690049408 0.1105714511799 -0.1946927624203   -0.005361243676229 -0.2394307823271   -0.1011392942526 -0.1731955079373   
2.60752190248 0.1076828974846 -0.1929611515854   -0.00524154652732 -0.2360554149119   -0.09907009009911 -0.1722971571175   
2.670353755551 0.1049155737473 -0.1912496377791   -0.005122960069264 -0.2327901438877   -0.09706221442484 -0.1713944631231   
2.733185608623 0.1022624305919 -0.1895585111618   -0.005005165485481 -0.2296285978362   -0.095112428157 -0.1704883792707   
2.796017461695 0.09971691245408 -0.1878880189201   -0.004887955789018 -0.226564966506   -0.09321776133707 -0.1695796748889   
2.858849314767 0.09727291745625 -0.1862383674702   -0.004771213933706 -0.2235939366719   -0.09137549093376 -0.1686689687861   
2.921681167839 0.09492476126004 -0.1846097236301   -0.004654894346379 -0.2207106360871   -0.08958311964647 -0.1677567581001   
2.98451302091 0.09266714457558 -0.183002215263   -0.004539007332289 -0.2179105845087   -0.08783835580608 -0.1668434429469   
3.047344873982 0.09049512358624 -0.1814159317406   -0.004423606041007 -0.2151896508975   -0.08613909453234 -0.1659293472961   
3.110176727054 0.08840408323333 -0.1798509244486   -0.004308775542906 -0.2125440160033   -0.08448340015971 -0.1650147364854   
3.173008580126 0.08638971276769 -0.1783072074698   -0.00419462379946 -0.2099701396414   -0.08286948999795 -0.1640998317719   
3.235840433197 0.08444798347493 -0.176784758516   -0.004081274205155 -0.2074647320532   -0.08129571938847 -0.1631848222913   
3.298672286269 0.08257512821994 -0.1752835201343   -0.00396885947708 -0.2050247288207   -0.07976056799312 -0.1622698747676   
3.361504139341 0.08076762273496 -0.1738034011833   -0.003857516709801 -0.202647268869   -0.07826262733621 -0.1613551412855   
3.424335992413 0.0790221683053 -0.1723442785558   -0.00374738340635 -0.2003296751533   -0.07680058945417 -0.1604407654085   
3.487167845485 0.07733567588446 -0.1709059991108   -0.003638594342565 -0.1980694376775   -0.0753732366564 -0.1595268868938   
3.549999698556 0.07570525136855 -0.1694883817744   -0.003531279124332 -0.195864198538   -0.07397943226317 -0.1586136452268   
3.612831551628 0.0741281820279 -0.1680912197643   -0.00342556033363 -0.1937117387254   -0.07261811229435 -0.157701182174   
3.6756634047 0.07260192390665 -0.1667142828954   -0.003321552168862 -0.1916099664533   -0.07128827800705 -0.1567896435235   
3.738495257772 0.07112409014115 -0.1653573199266   -0.003219359491348 -0.1895569068138   -0.06998898921722 -0.1558791801644   
3.801327110844 0.06969244015601 -0.1640200609123   -0.003119077208155 -0.1875506925848   -0.06871935834889 -0.1549699486316   
3.864158963915 0.0683048696154 -0.162702219526   -0.003020789925785 -0.1855895560397   -0.06747854511693 -0.1540621112278   
3.926990816987 0.06695940107337 -0.1614034953289   -0.002924571841524 -0.1836718216283   -0.06626575181793 -0.1531558358159   
3.989822670059 0.06565417532128 -0.1601235759618   -0.002830486800715 -0.1817958994173   -0.0650802191407 -0.1522512953598   
4.052654523131 0.06438744331062 -0.1588621392406   -0.002738588506339 -0.1799602791915   -0.0639212224583 -0.1513486672821   
4.115486376203 0.06315755868291 -0.1576188551426   -0.002648920833539 -0.1781635251339   -0.06278806855194 -0.1504481326922   
4.178318229274 0.06196297076764 -0.1563933876719   -0.002561518236202 -0.1764042710097   -0.0616800927118 -0.1495498755309   
4.241150082346 0.0608022181223 -0.1551853965986   -0.002476406212004 -0.1746812157929   -0.06059665618936 -0.1486540816696   
4.303981935418 0.0596739225134 -0.1539945390659   -0.002393601807912 -0.1729931196818   -0.05953714394711 -0.147760937992   
4.36681378849 0.05857678328425 -0.1528204710648   -0.002313114164397 -0.171338800455   -0.05850096267905 -0.1468706314846   
4.429645641562 0.05750957216351 -0.1516628487762   -0.002234945067206 -0.1697171301296   -0.0574875390759 -0.1459833483527   
4.492477494633 0.05647112840758 -0.1505213297819   -0.002159089508798 -0.1681270318851   -0.05649631829599 -0.1450992731767   
4.555309347705 0.05546035429335 -0.1493955741506   -0.002085536246873 -0.166567477224   -0.05552676262553 -0.1442185881199   
4.618141200777 0.05447621092981 -0.1482852453998   -0.00201426835453 -0.1650374833431   -0.05457835030449 -0.1433414721936   
4.680973053849 0.05351771435948 -0.147190011343   -0.001945263754815 -0.1635361106913   -0.05365057449431 -0.1424681005867   
4.743804906921 0.05258393193451 -0.1461095448253   -0.001878495737881 -0.1620624606979   -0.05274294237075 -0.1415986440591   
4.806636759992 0.0516739789585 -0.1450435243561   -0.001813933455146 -0.1606156736501   -0.05185497433059 -0.1407332684043   
4.869468613064 0.05078701554848 -0.1439916346449   -0.001751542393776 -0.1591949267088   -0.05098620329206 -0.1398721339765   
4.932300466136 0.04992224372801 -0.1429535670466   -0.001691284822746 -0.1577994320481   -0.05013617407873 -0.1390153952843   
4.995132319208 0.04907890473563 -0.1419290199251   -0.001633120212979 -0.1564284351071   -0.049304442878 -0.1381632006469   
5.05796417228 0.04825627650325 -0.1409176989398   -0.001577005633982 -0.1550812129453   -0.0484905767601 -0.1373156919105   
5.120796025351 0.04745367133172 -0.1399193172637   -0.001522896121444 -0.1537570726925   -0.04769415325274 -0.1364730042214   
5.183627878423 0.04667043372246 -0.138933595739   -0.001470745019424 -0.1524553500856   -0.04691475996163 -0.1356352658529   
5.246459731495 0.04590593836334 -0.1379602629752   -0.001420504298386 -0.1511754080861   -0.04615199423153 -0.1348025980815   
5.309291584567 0.04515958826289 -0.1369990553981   -0.001372124846255 -0.1499166355715   -0.04540546284221 -0.1339751151088   
5.372123437639 0.04443081301052 -0.1360497172531   -0.001325556736882 -0.1486784460968   -0.04467478173183 -0.1331529240254   
5.43495529071 0.04371906716099 -0.135112000569   -0.001280749476873 -0.1474602767201   -0.04395957574834 -0.1323361248123   
5.497787143782 0.04302382874197 -0.1341856650878   -0.001237652226184 -0.1462615868889   -0.04325947841863 -0.1315248103774   
5.560618996854 0.0423445978558 -0.1332704781637   -0.001196214001886 -0.1450818573832   -0.04257413173747 -0.1307190666216   
5.623450849926 0.04168089538142 -0.1323662146363   -0.001156383862144 -0.1439205893115   -0.041903185971 -0.1299189725331   
5.686282702998 0.04103226177858 -0.1314726566828   -0.001118111068963 -0.1427773031572   -0.04124629947467 -0.1291246003045   
5.749114556069 0.04039825596446 -0.1305895936504   -0.001081345235096 -0.1416515378727   -0.04060313851726 -0.1283360154717   
5.811946409141 0.03977845427039 -0.1297168218746   -0.001046036456652 -0.1405428500173   -0.03997337711942 -0.1275532770699   
5.874778262213 0.03917244947879 -0.1288541444853   -0.001012135426146 -0.1394508129388   -0.0393566968944 -0.1267764378051   
5.937610115285 0.0385798499193 -0.128001371202   -0.0009795935358407 -0.1383750159938   -0.03875278689916 -0.1260055442385   
6.000441968357 0.03800027863013 -0.1271583181242   -0.000948362966015 -0.1373150638071   -0.03816134348786 -0.1252406369807   
6.063273821428 0.03743337257711 -0.126324807514   -0.0009183967606217 -0.1362705755669   -0.0375820701692 -0.1244817508947   
6.1261056745 0.03687878192683 -0.1255006675778   -0.0008896488934284 -0.1352411843542   -0.03701467746967 -0.1237289153052   
6.188937527572 0.03633616936847 -0.1246857322455   -0.0008620743227494 -0.1342265365049   -0.03645888279735 -0.1229821542119   
6.251769380644 0.03580520947883 -0.1238798409492   -0.0008356290386623 -0.1332262910033   -0.03591441031 -0.122241486507   
6.314601233715 0.03528558813709 -0.1230828384046   -0.0008102700976505 -0.1322401189044   -0.03538099078187 -0.121506926193   
6.377433086787 0.03477700196674 -0.1222945743932   -0.0007859556557361 -0.1312677027856   -0.0348583614767 -0.120778482602   
6.440264939859 0.03427915782728 -0.1215149035486   -0.0007626449881826 -0.1303087362234   -0.03434626601834 -0.1200561606138   
6.503096792931 0.03379177232834 -0.1207436851472   -0.0007402985081151 -0.1293629232974   -0.03384445426546 -0.119339960872   
6.565928646003 0.03331457138231 -0.1199807829028   -0.000718877774649 -0.1284299781173   -0.03335268218423 -0.1186298799982   
6.628760499074 0.03284728978099 -0.1192260647673   -0.0006983455001632 -0.1275096243738   -0.03287071172576 -0.1179259108025   
6.691592352146 0.03238967080075 -0.1184794027369   -0.0006786655503779 -0.1266015949109   -0.03239831070207 -0.1172280424898   
6.754424205218 0.03194146583297 -0.1177406726643   -0.0006598029408105 -0.1257056313198   -0.03193525266382 -0.1165362608624   
6.81725605829 0.03150243403449 -0.1170097540778   -0.0006417238300946 -0.1248214835522   -0.03148131677898 -0.1158505485168   
6.880087911362 0.03107234200378 -0.1162865300064   -0.0006243955088731 -0.1239489095529   -0.03103628771243 -0.1151708850354   
6.942919764433 0.03065096347047 -0.1155708868123   -0.0006077863878905 -0.1230876749107   -0.03059995550699 -0.1144972471733   
7.005751617505 0.03023807900887 -0.1148627140298   -0.0005918659815588 -0.1222375525258   -0.03017211546563 -0.1138296090379   
7.068583470577 0.02983347576451 -0.1141619042111   -0.0005766048903206 -0.1213983222943   -0.02975256803365 -0.1131679422638   
7.131415323649 0.02943694719641 -0.1134683527791   -0.0005619747817327 -0.1205697708081   -0.02934111868403 -0.1125122161806   
7.194247176721 0.02904829283779 -0.1127819578868   -0.0005479483677953 -0.119751691069   -0.02893757780192 -0.1118623979744   
7.257079029792 0.02866731806335 -0.1121026202837   -0.0005344993839054 -0.1189438822182   -0.02854176057188 -0.1112184528441   
7.319910882864 0.02829383387431 -0.1114302431882   -0.0005216025649903 -0.1181461492776   -0.02815348686679 -0.1105803441498   
7.382742735936 0.02792765669355 -0.1107647321667   -0.0005092336204292 -0.1173583029052   -0.02777258113641 -0.1099480335561   
7.445574589008 0.02756860817117 -0.1101059950193   -0.0004973692093412 -0.1165801591616   -0.02739887229938 -0.1093214811689   
7.50840644208 0.0272165149985 -0.1094539416711   -0.0004859869154146 -0.1158115392886   -0.02703219363604 -0.1087006456655   
7.571238295151 0.02687120873507 -0.1088084840693   -0.0004750652195501 -0.1150522694986   -0.02667238268181 -0.1080854844191   
7.634070148223 0.02653252563952 -0.1081695360864   -0.0004645834748355 -0.114302180774   -0.02631928112382 -0.1074759536178   
7.696902001295 0.0262003065137 -0.1075370134285   -0.0004545218792573 -0.1135611086769   -0.02597273469861 -0.1068720083767   
7.759733854367 0.02587439654924 -0.1069108335492   -0.0004448614500757 -0.1128288931678   -0.02563259309161 -0.106273602845   
7.822565707439 0.02555464518433 -0.106290915568   -0.0004355839968112 -0.1121053784334   -0.02529870983753 -0.1056806903079   
7.88539756051 0.02524090596685 -0.105677180194   -0.0004266720953187 -0.1113904127226   -0.02497094222406 -0.1050932232823   
7.948229413582 0.02493303642039 -0.1050695496542   -0.0004181090625867 -0.1106838481909   -0.02464915119637 -0.104511153608   
8.011061266654 0.02463089792218 -0.1044679476256   -0.0004098789294055 -0.1099855407513   -0.02433320126282 -0.1039344325335   
8.073893119726 0.02433435557925 -0.1038722991722   -0.0004019664173045 -0.109295349934   -0.02402296040483 -0.1033630107973   
8.136724972798 0.02404327811482 -0.1032825306855   -0.0003943569123201 -0.1086131387515   -0.02371829998597 -0.1027968387041   
8.199556825869 0.02375753775758 -0.1026985698288   -0.0003870364406941 -0.1079387735706   -0.02341909466382 -0.1022358661969   
8.262388678941 0.02347701013413 -0.1021203454853   -0.0003799916459523 -0.1072721239908   -0.02312522230487 -0.1016800429247   
8.325220532013 0.02320157416829 -0.101547787709   -0.0003732097649744 -0.1066130627282   -0.02283656389984 -0.1011293183059   
8.388052385085 0.02293111198185 -0.1009808276797   -0.0003666786052395 -0.1059614655051   -0.02255300348101 -0.1005836415878   
8.450884238157 0.02266550880143 -0.10041939766   -0.0003603865224011 -0.1053172109442   -0.02227442804179 -0.1000429619026   
8.513716091228 0.02240465286598 -0.0998634309556   -0.0003543223994298 -0.1046801804688   -0.02200072745849 -0.09950722831967   
8.5765479443 0.02214843534028 -0.09931286187827   -0.0003484756248772 -0.1040502582067   -0.02173179441295 -0.09897638989375   
8.639379797372 0.02189675022879 -0.09876762571114   -0.0003428360732187 -0.1034273308987   -0.02146752431792 -0.09845039571093   
8.702211650444 0.02164949429672 -0.09822765867638   -0.000337394083991 -0.1028112878123   -0.0212078152433 -0.0979291949307   
8.765043503516 0.0214065669889 -0.09769289790503   -0.0003321404435748 -0.1022020206576   -0.02095256784513 -0.09741273682536   
8.827875356587 0.02116787035453 -0.09716328140889   -0.0003270663662164 -0.1015994235087   -0.02070168529558 -0.09690097081651   
8.890707209659 0.02093330897415 -0.0966387480543   -0.0003221634759065 -0.1010033927273   -0.02045507321514 -0.09639384650891   
8.953539062731 0.02070278988754 -0.09611923753771   -0.0003174237894918 -0.1004138268908   -0.0202126396064 -0.09589131372173   
9.016370915803 0.02047622252586 -0.0956046903628   -0.0003128396991763 -0.09983062672279   -0.01997429478897 -0.09539332251746   
9.079202768875 0.02025351864452 -0.09509504781931   -0.000308403956899 -0.09925369502714   -0.01973995133716 -0.09489982322852   
9.142034621946 0.02003459225884 -0.09459025196314   -0.0003041096587187 -0.09868293662443   -0.01950952401864 -0.09441076648167   
9.204866475018 0.01981935958139 -0.09409024559785   -0.0002999502292458 -0.09811825829159   -0.019282929734 -0.09392610322043   
9.26769832809 0.01960773896188 -0.09359497225738   -0.0002959194077281 -0.09755956870387   -0.01906008745967 -0.09344578472561   
9.330530181162 0.01939965082824 -0.09310437618989   -0.0002920112337599 -0.09700677837935   -0.01884091819067 -0.09296976263393   
9.393362034233 0.01919501762982 -0.09261840234266   -0.0002882200339695 -0.09645979962577   -0.01862534488582 -0.09249798895503   
9.456193887305 0.01899376378186 -0.09213699634797   -0.0002845404088511 -0.09591854648947   -0.01841329241361 -0.09203041608678   
9.519025740377 0.01879581561213 -0.09166010450985   -0.0002809672210943 -0.09538293470665   -0.01820468750114 -0.09156699682922   
9.581857593449 0.01860110130945 -0.09118767379169   -0.0002774955827508 -0.0948528816563   -0.01799945868247 -0.09110768439688   
9.644689446521 0.01840955087222 -0.09071965180459   -0.0002741208444256 -0.09432830631532   -0.0177975362496 -0.09065243242998   
9.707521299592 0.01822109606063 -0.09025598679637   -0.000270838583933 -0.09380912921521   -0.01759885220451 -0.0902011950042   
9.770353152664 0.01803567034789 -0.08979662764131   -0.0002676445963178 -0.09329527240057   -0.01740334021292 -0.08975392663941   
9.833185005736 0.01785320887485 -0.08934152383039   -0.000264534883007 -0.09278665938915   -0.01721093555804 -0.08931058230719   
9.896016858808 0.01767364840503 -0.08889062546209   -0.0002615056427152 -0.09228321513351   -0.01702157509743 -0.08887111743743   
9.95884871188 0.01749692728027 -0.08844388323372   -0.0002585532621795 -0.09178486598403   -0.01683519721976 -0.0884354879239   
10.02168056495 0.01732298537922 -0.08800124843313   -0.0002556743070318 -0.09129153965339   -0.01665174180318 -0.08800365012894   
10.08451241802 0.01715176407605 -0.08756267293088   -0.0002528655131757 -0.09080316518229   -0.01647115017469 -0.08757556088732   
10.1473442711 0.01698320619968 -0.08712810917273   -0.0002501237793658 -0.09031967290651   -0.01629336507146 -0.08715117750935   
10.21017612417 0.0168172559954 -0.08669751017256   -0.0002474461588991 -0.08984099442507   -0.01611833060213 -0.08673045778319   
10.27300797724 0.01665385908719 -0.08627082950542   -0.0002448298518465 -0.08936706256955   -0.01594599220922 -0.08631335997657   
10.33583983031 0.01649296244031 -0.08584802130108   -0.0002422721992582 -0.08889781137454   -0.01577629663471 -0.08589984283785   
10.39867168338 0.01633451432633 -0.0854290402376   -0.0002397706746842 -0.08843317604898   -0.01560919188295 -0.08548986559647   
10.46150353645 0.01617846428748 -0.08501384153531   -0.000237322879054 -0.08797309294865   -0.0154446271882 -0.08508338796295   
10.52433538953 0.01602476310335 -0.08460238095089   -0.0002349265339453 -0.08751749954948   -0.01528255298104 -0.08468037012827   
10.5871672426 0.01587336275787 -0.0841946147716   -0.0002325794756258 -0.08706633442176   -0.01512292085609 -0.08428077276293   
10.64999909567 0.01572421640745 -0.08379049980987   -0.0002302796493433 -0.08661953720519   -0.01496568354087 -0.08388455701542   
10.71283094874 0.01557727834925 -0.08338999339755   -0.0002280251045453 -0.08617704858473   -0.01481079486604 -0.08349168451062   
10.77566280181 0.0154325039917 -0.08299305338136   -0.0002258139889237 -0.08573881026752   -0.01465820973524 -0.08310211734714   
10.83849465488 0.01528984982445 -0.08259963811605   -0.0002236445443774 -0.08530476495938   -0.01450788409738 -0.08271581809591   
10.90132650796 0.01514927339057 -0.08220970646315   -0.0002215151009962 -0.08487485634521   -0.01435977491736 -0.08233274979492   
10.96415836103 0.01501073325637 -0.08182321777755   -0.0002194240753152 -0.084449029062   -0.01421384015218 -0.08195287595142   
11.0269902141 0.01487418898958 -0.08144013192017   -0.000217369960915 -0.08402722869174   -0.0140700387191 -0.08157616052796   
11.08982206717 0.01473960112281 -0.08106040921852   -0.0002153513336056 -0.08360940171142   -0.01392833048021 -0.08120256795916   
11.15265392024 0.01460693114613 -0.08068401052641   -0.0002133668316143 -0.0831954955368   -0.01378867620059 -0.08083206311131   
11.21548577332 0.01447614145071 -0.0803108971057   -0.0002114151789662 -0.0827854583778   -0.01365103755301 -0.08046461134056   
11.27831762639 0.01434719535538 -0.07994103080971   -0.000209495138253 -0.08237923945649   -0.01351537704905 -0.08010017839054   
11.34114947946 0.0142200570077 -0.07957437378662   -0.0002076055730536 -0.08197678857197   -0.01338165808367 -0.07973873053221   
11.40398133253 0.01409469146218 -0.07921088889715   -0.0002057453540811 -0.08157805677324   -0.01324984482283 -0.07938023436556   
11.4668131856 0.01397106453685 -0.07885053914495   -0.0002039134689846 -0.08118299528027   -0.01311990229086 -0.07902465705162   
11.52964503867 0.0138491429147 -0.07849328836496   -0.0002021088980242 -0.08079155697655   -0.01299179623841 -0.07867196605175   
11.59247689175 0.01372889402845 -0.07813910045044   -0.0002003307141502 -0.08040369443814   -0.01286549320826 -0.07832212936105   
11.65530874482 0.01361028606599 -0.07778794010361   -0.0001985780348238 -0.08001936218486   -0.01274096049049 -0.07797511532568   
11.71814059789 0.01349328802546 -0.077439772196   -0.0001968499689044 -0.07963851439272   -0.01261816603777 -0.0776308927288   
11.78097245096 0.01337786951201 -0.07709456219018   -0.0001951457813285 -0.07926110670644   -0.01249707861117 -0.07728943077294   
11.84380430403 0.01326400097642 -0.07675227595048   -0.0001934646284584 -0.07888709531673   -0.01237766753009 -0.07695069906305   
11.90663615711 0.01315165344411 -0.07641287972558   -0.0001918058402325 -0.07851643665209   -0.01225990288441 -0.07661466756166   
11.96946801018 0.01304079864848 -0.07607634025449   -0.0001901687221209 -0.07814908873715   -0.01214375537805 -0.07628130672692   
12.03229986325 0.01293140902821 -0.07574262465612   -0.0001885525640734 -0.07778500934503   -0.01202919630135 -0.07595058728823   
12.09513171632 0.0128234575428 -0.07541170048153   -0.0001869568318165 -0.07742415736675   -0.01191619766765 -0.07562248042199   
12.15796356939 0.01271691787755 -0.07508353567496   -0.0001853808652625 -0.07706649262164   -0.01180473199208 -0.07529695774425   
12.22079542246 0.01261176428649 -0.07475809863325   -0.0001838241027939 -0.07671197473046   -0.01169477241116 -0.07497399108049   
12.28362727554 0.01250797155427 -0.07443535810755   -0.000182286083193 -0.07636056475373   -0.01158629268553 -0.07465355279187   
12.34645912861 0.01240551513556 -0.0741152832484   -0.0001807662051787 -0.07601222417337   -0.01147926703987 -0.07433561557494   
12.40929098168 0.01230437098085 -0.0737978436777   -0.0001792640224528 -0.07566691449355   -0.01137367030537 -0.07402015233937   
12.47212283475 0.01220451556319 -0.07348300930281   -0.0001777791316583 -0.07532459866843   -0.01126947786161 -0.07370713656207   
