# nf=0.999985 TrSigmaG=0.123047 mom=[]
  0           0
  1           0
  2           0
  3           0
  4  1.53667e-06
  5    3.92e-06
  6  1.30567e-05
  7   5.931e-05
  8  0.000148953
  9  0.00034917
 10  0.000808713
 11   0.0017139
 12  0.00333933
 13  0.00616337
 14   0.0103099
 15   0.0163778
 16   0.0240906
 17   0.0335698
 18   0.0438559
 19   0.0543591
 20   0.0643783
 21   0.0724758
 22   0.0781137
 23    0.080746
 24   0.0800989
 25    0.076362
 26   0.0699166
 27   0.0618576
 28   0.0526729
 29   0.0432765
 30   0.0344689
 31   0.0266402
 32   0.0199017
 33   0.0144109
 34   0.0101779
 35   0.0069989
 36  0.00465567
 37  0.00302565
 38  0.00191195
 39  0.00115021
 40  0.000695597
 41  0.000407597
 42  0.000232963
 43  0.000124523
 44   6.452e-05
 45   3.542e-05
 46  1.91667e-05
 47  8.39334e-06
 48  3.68333e-06
 49    1.92e-06
 50    1.05e-06
 51     6.4e-07
 52     1.9e-07
 53           0
 54           0
 55           0
 56           0
 57           0
 58           0
 59           0
 60           0
 61           0
 62           0
 63           0
 64           0
 65           0
 66           0
 67           0
 68           0
 69           0
