 -0.500000000000000      (-0.706740023631441,0.000000000000000E+000)
 (-0.433264942466334,0.000000000000000E+000)
 -0.388888888888889      (-0.678974044514273,0.000000000000000E+000)
 (-0.462343157211590,0.000000000000000E+000)
 -0.277777777777778      (-0.649643971898998,0.000000000000000E+000)
 (-0.492692719101766,0.000000000000000E+000)
 -0.166666666666667      (-0.619062441783306,0.000000000000000E+000)
 (-0.523971690752472,0.000000000000000E+000)
 -5.555555555555558E-002 (-0.587621112957224,0.000000000000000E+000)
 (-0.555767281501578,0.000000000000000E+000)
  5.555555555555558E-002 (-0.555767281501578,0.000000000000000E+000)
 (-0.587621112957224,0.000000000000000E+000)
  0.166666666666667      (-0.523971690752471,0.000000000000000E+000)
 (-0.619062441783306,0.000000000000000E+000)
  0.277777777777778      (-0.492692719101765,0.000000000000000E+000)
 (-0.649643971898997,0.000000000000000E+000)
  0.388888888888889      (-0.462343157211590,0.000000000000000E+000)
 (-0.678974044514273,0.000000000000000E+000)
  0.500000000000000      (-0.433264942466334,0.000000000000000E+000)
 (-0.706740023631441,0.000000000000000E+000)
