2.67035 0.104626 -0.189174  2.45429 -1.09783  -0.00522013 -0.232336  2.82646 -1.24573  -0.0978606 -0.171066  3.28578 -1.24758  
2.73319 0.101983 -0.187535  2.46027 -1.1027  -0.00505395 -0.229194  2.83141 -1.24529  -0.095902 -0.170186  3.28495 -1.2462  
2.79602 0.0994394 -0.185923  2.46642 -1.10711  -0.00489529 -0.226153  2.83621 -1.24447  -0.0939968 -0.1693  3.28398 -1.24447  
2.85885 0.0969914 -0.184337  2.47272 -1.11109  -0.00474376 -0.223208  2.84085 -1.24328  -0.0921424 -0.168408  3.28289 -1.24241  
2.92168 0.0946334 -0.182776  2.47914 -1.11465  -0.004599 -0.220352  2.84535 -1.24174  -0.0903367 -0.16751  3.28167 -1.24006  
2.98451 0.092361 -0.18124  2.48566 -1.11782  -0.00446063 -0.217582  2.84972 -1.23988  -0.0885776 -0.166609  3.28034 -1.23744  
3.04734 0.0901699 -0.179727  2.49226 -1.1206  -0.00432828 -0.214892  2.85396 -1.23772  -0.0868634 -0.165704  3.27889 -1.23457  
3.11018 0.0880562 -0.178236  2.49893 -1.12302  -0.00420162 -0.212278  2.85808 -1.23528  -0.0851922 -0.164795  3.27732 -1.23148  
3.17301 0.0860162 -0.176768  2.50564 -1.1251  -0.00408028 -0.209737  2.86208 -1.23258  -0.0835624 -0.163884  3.27565 -1.22818  
3.23584 0.0840466 -0.17532  2.51238 -1.12684  -0.00396395 -0.207265  2.86596 -1.22962  -0.0819726 -0.162972  3.27387 -1.22469  
3.29867 0.0821441 -0.173893  2.51912 -1.12827  -0.00385231 -0.204858  2.86974 -1.22644  -0.0804213 -0.162057  3.272 -1.22103  
3.3615 0.0803058 -0.172484  2.52586 -1.12941  -0.00374505 -0.202513  2.8734 -1.22305  -0.0789072 -0.161142  3.27002 -1.21722  
3.42434 0.0785288 -0.171095  2.53256 -1.13026  -0.00364188 -0.200227  2.87696 -1.21947  -0.0774292 -0.160226  3.26796 -1.21326  
3.48717 0.0768105 -0.169724  2.53923 -1.13084  -0.00354252 -0.197998  2.88042 -1.2157  -0.0759861 -0.15931  3.26582 -1.20917  
3.55 0.0751484 -0.168371  2.54584 -1.13117  -0.00344672 -0.195823  2.88377 -1.21178  -0.0745769 -0.158395  3.26359 -1.20496  
3.61283 0.0735402 -0.167035  2.55238 -1.13126  -0.00335422 -0.193699  2.88703 -1.2077  -0.0732004 -0.15748  3.26128 -1.20064  
3.67566 0.0719835 -0.165715  2.55884 -1.13113  -0.0032648 -0.191625  2.89018 -1.20348  -0.0718558 -0.156565  3.25891 -1.19622  
3.7385 0.0704764 -0.164412  2.56522 -1.13079  -0.00317825 -0.189597  2.89324 -1.19914  -0.0705421 -0.155652  3.25646 -1.19172  
3.80133 0.0690168 -0.163124  2.57149 -1.13024  -0.00309436 -0.187615  2.89621 -1.19469  -0.0692584 -0.154741  3.25396 -1.18712  
3.86416 0.0676027 -0.161852  2.57766 -1.12951  -0.00301295 -0.185676  2.89908 -1.19013  -0.0680041 -0.153832  3.2514 -1.18245  
3.92699 0.0662324 -0.160596  2.58372 -1.12859  -0.00293384 -0.183779  2.90185 -1.18549  -0.0667782 -0.152924  3.24878 -1.17772  
3.98982 0.0649041 -0.159354  2.58965 -1.12751  -0.00285689 -0.181921  2.90454 -1.18077  -0.06558 -0.152019  3.24611 -1.17292  
4.05265 0.0636163 -0.158127  2.59546 -1.12628  -0.00278194 -0.180102  2.90713 -1.17597  -0.0644087 -0.151117  3.24341 -1.16806  
4.11549 0.0623672 -0.156914  2.60115 -1.12489  -0.00270887 -0.17832  2.90963 -1.17112  -0.0632638 -0.150217  3.24066 -1.16316  
4.17832 0.0611555 -0.155715  2.6067 -1.12337  -0.00263756 -0.176574  2.91203 -1.16621  -0.0621445 -0.14932  3.23788 -1.1582  
4.24115 0.0599797 -0.154531  2.61211 -1.12172  -0.00256789 -0.174862  2.91435 -1.16126  -0.0610501 -0.148427  3.23506 -1.15321  
4.30398 0.0588383 -0.15336  2.61739 -1.11994  -0.00249978 -0.173183  2.91658 -1.15627  -0.0599801 -0.147537  3.23223 -1.14818  
4.36681 0.0577302 -0.152202  2.62253 -1.11805  -0.00243314 -0.171536  2.91873 -1.15124  -0.0589338 -0.146651  3.22937 -1.14312  
4.42965 0.0566541 -0.151058  2.62753 -1.11605  -0.00236788 -0.16992  2.92078 -1.1462  -0.0579107 -0.145768  3.22649 -1.13803  
4.49248 0.0556087 -0.149928  2.6324 -1.11395  -0.00230394 -0.168334  2.92275 -1.14113  -0.0569102 -0.144889  3.2236 -1.13291  
4.55531 0.0545929 -0.14881  2.63713 -1.11175  -0.00224125 -0.166777  2.92464 -1.13605  -0.0559318 -0.144014  3.22069 -1.12778  
4.61814 0.0536056 -0.147706  2.64172 -1.10947  -0.00217977 -0.165248  2.92644 -1.13097  -0.0549748 -0.143144  3.21779 -1.12263  
4.68097 0.0526458 -0.146614  2.64617 -1.10709  -0.00211944 -0.163746  2.92816 -1.12588  -0.0540389 -0.142277  3.21488 -1.11746  
4.7438 0.0517124 -0.145535  2.6505 -1.10464  -0.00206023 -0.16227  2.92979 -1.12079  -0.0531234 -0.141416  3.21196 -1.11229  
4.80664 0.0508046 -0.144468  2.65469 -1.1021  -0.00200209 -0.16082  2.93135 -1.1157  -0.0522279 -0.140558  3.20906 -1.1071  
4.86947 0.0499212 -0.143415  2.65876 -1.0995  -0.00194499 -0.159395  2.93283 -1.11063  -0.051352 -0.139706  3.20616 -1.10192  
4.9323 0.0490616 -0.142373  2.6627 -1.09683  -0.00188891 -0.157994  2.93424 -1.10556  -0.0504951 -0.138858  3.20327 -1.09673  
4.99513 0.0482247 -0.141344  2.66652 -1.09409  -0.00183383 -0.156616  2.93556 -1.10052  -0.0496568 -0.138015  3.20039 -1.09154  
5.05796 0.0474098 -0.140326  2.67022 -1.09129  -0.00177972 -0.155261  2.93682 -1.09548  -0.0488367 -0.137177  3.19753 -1.08635  
5.1208 0.0466162 -0.139321  2.6738 -1.08843  -0.00172657 -0.153929  2.938 -1.09047  -0.0480343 -0.136344  3.19469 -1.08117  
5.18363 0.045843 -0.138328  2.67727 -1.08551  -0.00167436 -0.152618  2.93911 -1.08548  -0.0472492 -0.135516  3.19187 -1.07599  
5.24646 0.0450896 -0.137346  2.68064 -1.08254  -0.00162308 -0.151328  2.94015 -1.08051  -0.046481 -0.134693  3.18907 -1.07083  
5.30929 0.0443552 -0.136376  2.68389 -1.07952  -0.00157273 -0.150058  2.94113 -1.07557  -0.0457293 -0.133875  3.18629 -1.06567  
5.37212 0.0436391 -0.135418  2.68705 -1.07645  -0.00152328 -0.148809  2.94204 -1.07066  -0.0449936 -0.133063  3.18354 -1.06053  
5.43496 0.0429409 -0.134471  2.69011 -1.07333  -0.00147475 -0.147579  2.94289 -1.06578  -0.0442737 -0.132256  3.18082 -1.05541  
