3.3458 0.00713435 -0.296182  0.168616 -0.0271444  
3.37721 0.00719135 -0.29364  0.166546 -0.0248789  
3.40863 0.00726052 -0.291162  0.164309 -0.0223731  
3.44004 0.00734165 -0.288744  0.161901 -0.0196259  
3.47146 0.00743446 -0.286385  0.159318 -0.0166368  
3.50288 0.00753865 -0.284082  0.156558 -0.0134058  
3.53429 0.00765386 -0.281835  0.153619 -0.00993354  
3.56571 0.0077797 -0.279641  0.150499 -0.00622115  
3.59712 0.00791574 -0.277497  0.147198 -0.00227033  
3.62854 0.00806152 -0.275404  0.143716 0.00191677  
3.65996 0.00821658 -0.273358  0.140054 0.00633749  
3.69137 0.00838041 -0.271358  0.136213 0.0109888  
3.72279 0.00855249 -0.269402  0.132195 0.015867  
3.7542 0.00873229 -0.267489  0.128003 0.0209685  
3.78562 0.00891927 -0.265617  0.12364 0.0262887  
3.81704 0.00911287 -0.263785  0.119111 0.0318231  
3.84845 0.00931254 -0.261991  0.114418 0.0375667  
3.87987 0.00951772 -0.260233  0.109568 0.0435143  
3.91128 0.00972783 -0.258511  0.104564 0.0496602  
3.9427 0.00994233 -0.256823  0.0994135 0.0559986  
3.97411 0.0101606 -0.255168  0.0941212 0.0625235  
4.00553 0.0103822 -0.253544  0.0886935 0.0692285  
4.03695 0.0106065 -0.251951  0.0831369 0.0761071  
4.06836 0.010833 -0.250386  0.0774581 0.0831526  
4.09978 0.0110611 -0.248849  0.0716642 0.0903582  
4.13119 0.0112903 -0.247339  0.0657622 0.0977168  
4.16261 0.0115202 -0.245855  0.0597595 0.105221  
4.19403 0.0117501 -0.244396  0.0536634 0.112865  
4.22544 0.0119797 -0.24296  0.0474816 0.120639  
4.25686 0.0122085 -0.241547  0.0412215 0.128537  
4.28827 0.012436 -0.240156  0.0348909 0.136552  
4.31969 0.0126617 -0.238786  0.0284974 0.144675  
4.35111 0.0128853 -0.237436  0.0220488 0.1529  
4.38252 0.0131063 -0.236105  0.0155526 0.161219  
4.41394 0.0133244 -0.234794  0.0090166 0.169623  
4.44535 0.0135391 -0.2335  0.00244832 0.178106  
4.47677 0.0137502 -0.232223  -0.00414472 0.18666  
4.50819 0.0139573 -0.230962  -0.0107551 0.195277  
4.5396 0.01416 -0.229717  -0.0173754 0.20395  
4.57102 0.0143581 -0.228488  -0.0239985 0.212672  
4.60243 0.0145513 -0.227273  -0.0306172 0.221434  
4.63385 0.0147392 -0.226072  -0.0372246 0.23023  
4.66527 0.0149218 -0.224885  -0.0438138 0.239053  
4.69668 0.0150986 -0.22371  -0.050378 0.247895  
4.7281 0.0152696 -0.222548  -0.0569109 0.25675  
4.75951 0.0154344 -0.221398  -0.0634059 0.26561  
