3.86416 0.0286686 -0.229227  2.23117 -0.342489  -0.0285105 -0.229398  0.765492 -0.340196  
3.92699 0.0281068 -0.226159  2.22726 -0.339993  -0.0279375 -0.226306  0.769216 -0.338132  
3.98982 0.0275602 -0.223174  2.22344 -0.337448  -0.0273803 -0.223295  0.772855 -0.336067  
4.05265 0.0270283 -0.220267  2.21971 -0.334859  -0.0268383 -0.220363  0.776412 -0.334001  
4.11549 0.0265104 -0.217437  2.21607 -0.332232  -0.0263111 -0.217505  0.77989 -0.331936  
4.17832 0.0260061 -0.214679  2.21251 -0.329573  -0.0257982 -0.21472  0.783293 -0.329872  
4.24115 0.0255146 -0.211991  2.20905 -0.326886  -0.0252993 -0.212004  0.786623 -0.327808  
4.30398 0.0250357 -0.20937  2.20567 -0.324178  -0.0248138 -0.209356  0.789884 -0.325745  
4.36681 0.0245687 -0.206813  2.20238 -0.321452  -0.0243414 -0.206772  0.793078 -0.323682  
4.42965 0.0241134 -0.204318  2.19916 -0.318716  -0.0238817 -0.20425  0.796208 -0.32162  
4.49248 0.0236692 -0.201882  2.19604 -0.315973  -0.0234343 -0.201789  0.799277 -0.319558  
4.55531 0.0232358 -0.199503  2.19299 -0.313228  -0.0229988 -0.199385  0.802287 -0.317495  
4.61814 0.0228128 -0.197179  2.19002 -0.310485  -0.0225749 -0.197038  0.80524 -0.315431  
4.68097 0.0223999 -0.194908  2.18713 -0.307751  -0.0221622 -0.194745  0.808138 -0.313366  
4.7438 0.0219967 -0.192688  2.18431 -0.305027  -0.0217604 -0.192504  0.810984 -0.311298  
4.80664 0.021603 -0.190518  2.18157 -0.30232  -0.021369 -0.190313  0.81378 -0.309228  
4.86947 0.0212184 -0.188394  2.1789 -0.299631  -0.0209878 -0.188172  0.816525 -0.307154  
4.9323 0.0208427 -0.186316  2.1763 -0.296966  -0.0206165 -0.186078  0.819224 -0.305077  
4.99513 0.0204756 -0.184283  2.17377 -0.294326  -0.0202547 -0.184029  0.821876 -0.302997  
5.05796 0.0201168 -0.182292  2.17131 -0.291716  -0.0199021 -0.182025  0.824483 -0.300911  
5.1208 0.0197662 -0.180342  2.16891 -0.289138  -0.0195585 -0.180064  0.827046 -0.298822  
5.18363 0.0194235 -0.178433  2.16658 -0.286594  -0.0192235 -0.178144  0.829566 -0.296727  
5.24646 0.0190884 -0.176561  2.16431 -0.284088  -0.0188968 -0.176265  0.832044 -0.294628  
5.30929 0.0187609 -0.174728  2.1621 -0.28162  -0.0185782 -0.174425  0.834481 -0.292524  
5.37212 0.0184406 -0.17293  2.15995 -0.279194  -0.0182675 -0.172622  0.836878 -0.290415  
5.43496 0.0181274 -0.171168  2.15786 -0.276809  -0.0179642 -0.170857  0.839235 -0.288301  
5.49779 0.0178211 -0.16944  2.15582 -0.274469  -0.0176683 -0.169126  0.841553 -0.286183  
5.56062 0.0175215 -0.167745  2.15383 -0.272175  -0.0173795 -0.167431  0.843832 -0.28406  
5.62345 0.0172285 -0.166082  2.1519 -0.269926  -0.0170975 -0.165768  0.846073 -0.281933  
