2.67035 0.110727 -0.191584  2.43172 -0.962559  -0.00038809 -0.23386  2.7369 -1.21983  -0.0960354 -0.172572  3.22841 -1.26771  
2.73319 0.107999 -0.190327  2.44297 -0.961766  -2.90815e-05 -0.230847  2.7358 -1.21616  -0.093788 -0.171563  3.22507 -1.2741  
2.79602 0.105312 -0.189075  2.45493 -0.961504  0.000276402 -0.227947  2.73522 -1.21174  -0.0916308 -0.170521  3.22247 -1.27998  
2.85885 0.102665 -0.187826  2.46751 -0.961792  0.000530201 -0.225148  2.73522 -1.20667  -0.0895616 -0.16945  3.22058 -1.28531  
2.92168 0.100061 -0.186574  2.48063 -0.96264  0.000734717 -0.222442  2.73583 -1.20103  -0.0875776 -0.168356  3.21938 -1.2901  
2.98451 0.0975003 -0.185317  2.4942 -0.964047  0.000892785 -0.219821  2.73707 -1.19492  -0.085676 -0.167244  3.21884 -1.29433  
3.04734 0.0949857 -0.184051  2.50814 -0.966003  0.00100757 -0.217277  2.73893 -1.18843  -0.0838535 -0.166118  3.21893 -1.29799  
3.11018 0.0925191 -0.182775  2.52236 -0.968495  0.00108246 -0.214802  2.74142 -1.18166  -0.0821067 -0.164983  3.21959 -1.30106  
3.17301 0.090103 -0.181487  2.53677 -0.971501  0.00112099 -0.21239  2.74451 -1.17469  -0.0804322 -0.163841  3.22079 -1.30356  
3.23584 0.0877396 -0.180185  2.55129 -0.974999  0.00112675 -0.210035  2.74818 -1.16761  -0.0788265 -0.162698  3.22246 -1.30547  
3.29867 0.0854311 -0.178869  2.56583 -0.97896  0.00110336 -0.207732  2.75241 -1.1605  -0.077286 -0.161555  3.22457 -1.30679  
3.3615 0.0831797 -0.177539  2.58031 -0.983355  0.00105437 -0.205475  2.75714 -1.15343  -0.0758071 -0.160417  3.22705 -1.30753  
3.42434 0.0809871 -0.176195  2.59466 -0.988153  0.000983247 -0.203261  2.76235 -1.14647  -0.0743865 -0.159284  3.22986 -1.30768  
3.48717 0.0788551 -0.174837  2.60879 -0.993319  0.000893337 -0.201085  2.76799 -1.13968  -0.0730206 -0.158161  3.23294 -1.30725  
3.55 0.0767851 -0.173467  2.62263 -0.998819  0.000787833 -0.198945  2.77401 -1.13313  -0.0717061 -0.157048  3.23624 -1.30624  
3.61283 0.0747782 -0.172084  2.63612 -1.00462  0.000669756 -0.196838  2.78037 -1.12686  -0.07044 -0.155947  3.2397 -1.30468  
3.67566 0.0728354 -0.170691  2.64919 -1.01068  0.000541941 -0.194761  2.78701 -1.12091  -0.0692191 -0.15486  3.24328 -1.30255  
3.7385 0.0709572 -0.169289  2.66178 -1.01698  0.000407024 -0.192712  2.79389 -1.11534  -0.0680404 -0.153787  3.24693 -1.29989  
3.80133 0.069144 -0.167879  2.67384 -1.02346  0.000267441 -0.19069  2.80097 -1.11016  -0.0669013 -0.15273  3.2506 -1.29669  
3.86416 0.067396 -0.166463  2.6853 -1.0301  0.000125421 -0.188694  2.80818 -1.10542  -0.065799 -0.151689  3.25425 -1.29298  
3.92699 0.0657128 -0.165043  2.69614 -1.03686  -1.70088e-05 -0.186721  2.8155 -1.10113  -0.0647311 -0.150664  3.25785 -1.28878  
3.98982 0.0640943 -0.163621  2.70629 -1.0437  -0.000158024 -0.184772  2.82286 -1.09731  -0.0636953 -0.149657  3.26135 -1.2841  
4.05265 0.0625397 -0.162197  2.71574 -1.05058  -0.000295995 -0.182846  2.83024 -1.09397  -0.0626893 -0.148667  3.26473 -1.27895  
4.11549 0.0610482 -0.160775  2.72443 -1.05747  -0.000429481 -0.180942  2.83757 -1.09113  -0.0617111 -0.147694  3.26794 -1.27337  
4.17832 0.0596189 -0.159356  2.73236 -1.06433  -0.00055722 -0.17906  2.84484 -1.08879  -0.0607588 -0.146739  3.27098 -1.26737  
4.24115 0.0582506 -0.157942  2.73948 -1.07113  -0.000678126 -0.1772  2.85199 -1.08696  -0.0598307 -0.1458  3.2738 -1.26097  
4.30398 0.056942 -0.156533  2.74578 -1.07782  -0.00079127 -0.175362  2.85898 -1.08562  -0.058925 -0.144878  3.27639 -1.2542  
4.36681 0.0556916 -0.155133  2.75126 -1.08438  -0.000895879 -0.173545  2.8658 -1.08477  -0.0580404 -0.143972  3.27873 -1.24707  
4.42965 0.054498 -0.153742  2.75589 -1.09076  -0.00099132 -0.171751  2.87239 -1.08441  -0.0571754 -0.143083  3.2808 -1.23961  
4.49248 0.0533594 -0.152363  2.75967 -1.09693  -0.00107709 -0.169979  2.87874 -1.08452  -0.0563287 -0.142209  3.28259 -1.23184  
4.55531 0.0522741 -0.150995  2.76261 -1.10285  -0.00115281 -0.168229  2.8848 -1.08509  -0.0554992 -0.14135  3.2841 -1.22379  
4.61814 0.0512403 -0.149641  2.7647 -1.1085  -0.00121822 -0.166502  2.89057 -1.08611  -0.0546858 -0.140506  3.2853 -1.21547  
4.68097 0.0502562 -0.148303  2.76594 -1.11383  -0.00127313 -0.164798  2.896 -1.08754  -0.0538876 -0.139675  3.2862 -1.20692  
4.7438 0.0493199 -0.14698  2.76636 -1.11882  -0.00131749 -0.163117  2.90108 -1.08937  -0.0531036 -0.138858  3.28679 -1.19814  
4.80664 0.0484294 -0.145674  2.76597 -1.12343  -0.00135128 -0.16146  2.90578 -1.09159  -0.0523331 -0.138054  3.28706 -1.18916  
4.86947 0.0475829 -0.144387  2.76478 -1.12763  -0.0013746 -0.159827  2.9101 -1.09415  -0.0515754 -0.137262  3.28703 -1.18001  
4.9323 0.0467783 -0.143118  2.76282 -1.1314  -0.00138758 -0.158217  2.914 -1.09705  -0.0508297 -0.136482  3.28668 -1.17071  
4.99513 0.0460139 -0.141868  2.7601 -1.1347  -0.00139043 -0.156632  2.91748 -1.10024  -0.0500956 -0.135713  3.28602 -1.16126  
5.05796 0.0452875 -0.140639  2.75666 -1.13751  -0.00138341 -0.155071  2.92052 -1.1037  -0.0493725 -0.134955  3.28505 -1.1517  
5.1208 0.0445974 -0.139431  2.75253 -1.1398  -0.0013668 -0.153535  2.92312 -1.1074  -0.04866 -0.134207  3.28378 -1.14204  
5.18363 0.0439417 -0.138244  2.74773 -1.14156  -0.00134094 -0.152024  2.92525 -1.11132  -0.0479576 -0.133468  3.28221 -1.1323  
5.24646 0.0433184 -0.137078  2.74231 -1.14276  -0.0013062 -0.150538  2.92692 -1.11541  -0.0472649 -0.132738  3.28035 -1.12249  
5.30929 0.0427259 -0.135934  2.73629 -1.14339  -0.00126296 -0.149078  2.92812 -1.11966  -0.0465817 -0.132017  3.27821 -1.11264  
5.37212 0.0421624 -0.134813  2.72972 -1.14342  -0.00121163 -0.147642  2.92884 -1.12402  -0.0459076 -0.131304  3.2758 -1.10276  
5.43496 0.041626 -0.133714  2.72263 -1.14284  -0.00115265 -0.146231  2.92908 -1.12847  -0.0452424 -0.130598  3.27311 -1.09286  
5.49779 0.0411153 -0.132637  2.71507 -1.14164  -0.00108644 -0.144846  2.92885 -1.13297  -0.0445858 -0.1299  3.27017 -1.08296  
5.56062 0.0406285 -0.131583  2.70708 -1.13982  -0.00101346 -0.143486  2.92814 -1.13749  -0.0439377 -0.129208  3.26698 -1.07307  
5.62345 0.0401642 -0.130551  2.6987 -1.13735  -0.000934156 -0.142151  2.92695 -1.14201  -0.043298 -0.128522  3.26355 -1.0632  
