0.0314159265359 0.5236937021206 -0.06721118725731   -0.4590317413191 -1.037388887403   -0.2880603624241 -0.1095622989531   
0.09424777960769 0.5088641067582 -0.0996613123256   -0.3051979696714 -0.914870485319   -0.2833943520478 -0.1174941190155   
0.1570796326795 0.4941036569104 -0.1245076838257   -0.2233745106053 -0.837908364593   -0.2759458311273 -0.126696978556   
0.2199114857513 0.4677325589514 -0.1533492207606   -0.1620824687252 -0.7659527690445   -0.271647171379 -0.1321793128245   
0.2827433388231 0.4502444434868 -0.170634834973   -0.1194240391474 -0.6933920611567   -0.261820622573 -0.141980379545   
0.3455751918949 0.4291283996094 -0.1862779235489   -0.0936678940958 -0.6421215597764   -0.2532563203684 -0.1484975156046   
0.4084070449667 0.4055270067808 -0.1999564239479   -0.07722519125944 -0.6059198577238   -0.2459966054744 -0.1529536314582   
0.4712388980385 0.3825850208079 -0.210473992571   -0.06485984318329 -0.576448735214   -0.2389043774507 -0.1571000982375   
0.5340707511103 0.361823500454 -0.2178366372604   -0.05427415106784 -0.5494422356455   -0.2314779419863 -0.1614701919078   
0.5969026041821 0.3433969952312 -0.2227299689978   -0.04483405982585 -0.5236519765754   -0.2237825431323 -0.1658729464007   
0.6597344572539 0.3268731913635 -0.225929942058   -0.03655286812717 -0.4991550074729   -0.216104305963 -0.1699455623411   
0.7225663103257 0.3117283996627 -0.2280410233307   -0.02956884995819 -0.4763499673933   -0.2087273331354 -0.173415143105   
0.7853981633974 0.2975545644829 -0.2294508141837   -0.02394641704078 -0.4555390894157   -0.2018445713249 -0.1761611275687   
0.8482300164692 0.2841025906164 -0.2303732491694   -0.01963685926853 -0.4368243343679   -0.1955457249645 -0.1781904244405   
0.911061869541 0.2712562879969 -0.2309100586968   -0.0165014953423 -0.4201334788126   -0.1898375634617 -0.1795896066336   
0.9738937226128 0.2589878623904 -0.2311024503726   -0.01434994867223 -0.4052821626364   -0.1846721198755 -0.1804816933965   
1.036725575685 0.247317006897 -0.2309662983757   -0.01297433968352 -0.3920324914248   -0.1799719788658 -0.1809955839086   
1.099557428756 0.2362807018541 -0.2305126337376   -0.01217372003402 -0.3801359720007   -0.1756492198605 -0.1812478909231   
1.162389281828 0.2259139663396 -0.2297575349361   -0.01176885983639 -0.3693601855125   -0.1716179478839 -0.1813342450742   
1.2252211349 0.2162394260695 -0.228725328927   -0.01160942541478 -0.3595025736755   -0.1678015912461 -0.1813268901779   
1.288052987972 0.2072631009192 -0.2274480737811   -0.011575871175 -0.3503953421831   -0.1641363875169 -0.1812759836102   
1.350884841044 0.1989741609936 -0.2259633192646   -0.01157801908072 -0.3419048814065   -0.1605723231306 -0.1812127641633   
1.413716694115 0.1913469185649 -0.2243113631943   -0.01155181398717 -0.333928207739   -0.1570725090748 -0.1811533977497   
1.476548547187 0.1843438933456 -0.2225326727354   -0.01145526703496 -0.3263881070849   -0.1536117007271 -0.1811027957895   
1.539380400259 0.1779191596791 -0.2206657834196   -0.01126425021397 -0.3192280231491   -0.1501744395189 -0.1810580333018   
1.602212253331 0.1720215452106 -0.2187457742564   -0.01096852330701 -0.3124072800908   -0.1467531194829 -0.1810112066167   
1.665044106403 0.1665974238696 -0.216803298523   -0.01056820153159 -0.3058969279973   -0.1433461603195 -0.1809516983491   
1.727875959474 0.1615930118268 -0.2148640924758   -0.01007074627086 -0.2996763113498   -0.1399563808826 -0.1808678876366   
1.790707812546 0.15695614923 -0.2129488635693   -0.009488489256336 -0.293730350663   -0.136589613951 -0.1807483773785   
1.853539665618 0.1526376064358 -0.2110734598044   -0.008836656215812 -0.2880474693447   -0.1332535679277 -0.180582821672   
1.91637151869 0.1485919707878 -0.2092492322669   -0.008131836960936 -0.2826180724251   -0.1299569208 -0.1803624354143   
1.979203371762 0.144778182552 -0.2074835175938   -0.007390837966763 -0.2774334780321   -0.1267086227496 -0.1800802602579   
2.042035224833 0.1411597925626 -0.205780182527   -0.006629853325799 -0.2724852076895   -0.1235173775638 -0.1797312505209   
2.104867077905 0.1377050000784 -0.204140186961   -0.00586389555174 -0.2677645521196   -0.1203912742667 -0.1793122314982   
