6.5031 -5.51847e-05 -0.107013  4.50464 -2.41852  
6.56593 -5.90608e-05 -0.106489  4.50504 -2.40362  
6.62876 -6.27775e-05 -0.105969  4.50543 -2.38886  
6.69159 -6.63327e-05 -0.105453  4.50582 -2.37425  
6.75442 -6.9725e-05 -0.10494  4.5062 -2.35977  
6.81726 -7.29535e-05 -0.10443  4.50657 -2.34543  
6.88009 -7.6018e-05 -0.103923  4.50693 -2.33123  
6.94292 -7.89184e-05 -0.10342  4.50728 -2.31716  
7.00575 -8.16555e-05 -0.10292  4.50762 -2.30323  
7.06858 -8.42302e-05 -0.102423  4.50795 -2.28944  
7.13142 -8.6644e-05 -0.10193  4.50828 -2.27577  
7.19425 -8.88987e-05 -0.10144  4.50859 -2.26224  
7.25708 -9.09962e-05 -0.100953  4.50889 -2.24884  
7.31991 -9.2939e-05 -0.100469  4.50917 -2.23557  
7.38274 -9.47297e-05 -0.0999886  4.50945 -2.22243  
7.44557 -9.63711e-05 -0.0995113  4.50972 -2.20941  
7.50841 -9.78664e-05 -0.0990372  4.50997 -2.19653  
7.57124 -9.92186e-05 -0.0985663  4.51022 -2.18377  
7.63407 -0.000100431 -0.0980984  4.51045 -2.17113  
7.6969 -0.000101508 -0.0976337  4.51067 -2.15862  
7.75973 -0.000102452 -0.0971722  4.51088 -2.14623  
7.82257 -0.000103267 -0.0967137  4.51107 -2.13397  
7.8854 -0.000103958 -0.0962583  4.51126 -2.12182  
7.94823 -0.000104528 -0.095806  4.51143 -2.1098  
8.01106 -0.00010498 -0.0953567  4.5116 -2.09789  
8.07389 -0.000105319 -0.0949104  4.51175 -2.0861  
8.13672 -0.000105549 -0.0944672  4.51189 -2.07443  
8.19956 -0.000105674 -0.094027  4.51202 -2.06287  
8.26239 -0.000105698 -0.0935897  4.51214 -2.05143  
8.32522 -0.000105624 -0.0931554  4.51225 -2.0401  
8.38805 -0.000105457 -0.0927241  4.51235 -2.02888  
8.45088 -0.0001052 -0.0922957  4.51244 -2.01778  
8.51372 -0.000104857 -0.0918702  4.51251 -2.00678  
8.57655 -0.000104433 -0.0914477  4.51258 -1.99589  
8.63938 -0.00010393 -0.091028  4.51264 -1.98512  
8.70221 -0.000103353 -0.0906111  4.51269 -1.97445  
8.76504 -0.000102705 -0.0901972  4.51273 -1.96388  
8.82788 -0.000101989 -0.089786  4.51275 -1.95342  
8.89071 -0.00010121 -0.0893777  4.51278 -1.94306  
8.95354 -0.00010037 -0.0889722  4.51279 -1.93281  
9.01637 -9.94729e-05 -0.0885695  4.51279 -1.92265  
9.0792 -9.85217e-05 -0.0881695  4.51278 -1.9126  
9.14203 -9.75197e-05 -0.0877723  4.51277 -1.90265  
9.20487 -9.64698e-05 -0.0873778  4.51275 -1.89279  
9.2677 -9.53751e-05 -0.086986  4.51272 -1.88304  
9.33053 -9.42384e-05 -0.086597  4.51268 -1.87337  
9.39336 -9.30626e-05 -0.0862106  4.51264 -1.86381  
9.45619 -9.18503e-05 -0.0858269  4.51258 -1.85434  
9.51903 -9.06042e-05 -0.0854458  4.51252 -1.84496  
9.58186 -8.93268e-05 -0.0850674  4.51246 -1.83567  
9.64469 -8.80206e-05 -0.0846916  4.51239 -1.82647  
9.70752 -8.66879e-05 -0.0843183  4.51231 -1.81736  
9.77035 -8.5331e-05 -0.0839477  4.51222 -1.80835  
9.83319 -8.39521e-05 -0.0835796  4.51213 -1.79942  
9.89602 -8.25534e-05 -0.0832141  4.51204 -1.79057  
9.95885 -8.11368e-05 -0.082851  4.51193 -1.78182  
10.0217 -7.97043e-05 -0.0824905  4.51183 -1.77314  
10.0845 -7.82577e-05 -0.0821325  4.51171 -1.76455  
10.1473 -7.6799e-05 -0.081777  4.51159 -1.75605  
10.2102 -7.53297e-05 -0.0814239  4.51147 -1.74762  
10.273 -7.38516e-05 -0.0810733  4.51134 -1.73928  
10.3358 -7.23662e-05 -0.0807251  4.51121 -1.73102  
10.3987 -7.08751e-05 -0.0803793  4.51108 -1.72283  
10.4615 -6.93796e-05 -0.0800359  4.51094 -1.71472  
10.5243 -6.78811e-05 -0.0796949  4.51079 -1.70669  
10.5872 -6.6381e-05 -0.0793562  4.51064 -1.69874  
10.65 -6.48805e-05 -0.0790199  4.51049 -1.69086  
10.7128 -6.33807e-05 -0.0786859  4.51034 -1.68306  
10.7757 -6.18829e-05 -0.0783542  4.51018 -1.67533  
10.8385 -6.0388e-05 -0.0780248  4.51002 -1.66767  
10.9013 -5.8897e-05 -0.0776976  4.50985 -1.66008  
10.9642 -5.7411e-05 -0.0773728  4.50969 -1.65256  
