 0   0.3025858291290112 
 1 -5.015740850539124e-05 
 2  -0.1895300884802813 
 3 2.822064328108023e-06 
 4 -0.07383671676860601 
 5 1.749669426637671e-05 
 6  0.01236455402408311 
 7 4.54471985409431e-06 
 8 -0.007286575117010971 
 9 -7.221482978867221e-06 
10 -0.007865005499888245 
11 2.594159041929344e-06 
12 -0.001703729128802233 
13 3.722955439654164e-06 
14 -0.001482405307714728 
15 4.483911268611563e-06 
16 9.420241356773856e-05 
17 2.861283482675823e-06 
18 4.705975273251909e-05 
19 -1.713173395814659e-06 
20 -2.328199010255119e-05 
21 -2.258331130677612e-05 
22 -1.616897500966745e-05 
23 -3.417339854735468e-05 
24 1.884699896375732e-05 
25 -1.57790041948405e-05 
26 3.049398398308261e-06 
27 1.981470539498574e-05 
28  6.6977939189368e-06 
29 8.893650202058725e-05 
