0.0314159 0.000252313 -0.00195715  -59.2951 -502.554  
27.3004 2.79393e-06 -0.0350633  5.49772 -1.07932  
27.3633 2.76844e-06 -0.0349896  5.49773 -1.0769  
27.4261 2.74323e-06 -0.0349161  5.49774 -1.0745  
27.4889 2.71829e-06 -0.0348429  5.49775 -1.07211  
27.5518 2.69363e-06 -0.03477  5.49776 -1.06972  
27.6146 2.66924e-06 -0.0346974  5.49777 -1.06735  
27.6774 2.64511e-06 -0.0346251  5.49778 -1.06499  
27.7403 2.62125e-06 -0.0345531  5.49779 -1.06264  
27.8031 2.59765e-06 -0.0344814  5.4978 -1.0603  
27.8659 2.5743e-06 -0.0344099  5.49782 -1.05797  
27.9288 2.5512e-06 -0.0343388  5.49783 -1.05565  
27.9916 2.52836e-06 -0.0342679  5.49784 -1.05334  
28.0544 2.50576e-06 -0.0341973  5.49785 -1.05104  
28.1173 2.48341e-06 -0.034127  5.49786 -1.04875  
28.1801 2.46129e-06 -0.0340569  5.49787 -1.04647  
28.2429 2.43942e-06 -0.0339871  5.49788 -1.0442  
28.3057 2.41778e-06 -0.0339176  5.49789 -1.04194  
28.3686 2.39636e-06 -0.0338484  5.4979 -1.03969  
28.4314 2.37518e-06 -0.0337794  5.49791 -1.03745  
28.4942 2.35422e-06 -0.0337107  5.49792 -1.03522  
28.5571 2.33349e-06 -0.0336423  5.49793 -1.033  
28.6199 2.31298e-06 -0.0335741  5.49794 -1.03079  
28.6827 2.29268e-06 -0.0335062  5.49795 -1.02859  
28.7456 2.2726e-06 -0.0334386  5.49796 -1.02639  
28.8084 2.25272e-06 -0.0333712  5.49797 -1.02421  
28.8712 2.23306e-06 -0.0333041  5.49798 -1.02204  
28.9341 2.21361e-06 -0.0332372  5.49799 -1.01987  
28.9969 2.19436e-06 -0.0331706  5.498 -1.01772  
29.0597 2.17531e-06 -0.0331043  5.49801 -1.01557  
29.1226 2.15646e-06 -0.0330382  5.49802 -1.01343  
29.1854 2.1378e-06 -0.0329724  5.49802 -1.0113  
29.2482 2.11934e-06 -0.0329068  5.49803 -1.00918  
29.3111 2.10107e-06 -0.0328414  5.49804 -1.00707  
29.3739 2.08299e-06 -0.0327763  5.49805 -1.00497  
29.4367 2.0651e-06 -0.0327115  5.49806 -1.00288  
29.4996 2.04739e-06 -0.0326469  5.49807 -1.00079  
29.5624 2.02987e-06 -0.0325825  5.49808 -0.998715  
29.6252 2.01253e-06 -0.0325184  5.49809 -0.996647  
29.6881 1.99536e-06 -0.0324546  5.4981 -0.994589  
29.7509 1.97837e-06 -0.0323909  5.49811 -0.992538  
29.8137 1.96155e-06 -0.0323275  5.49811 -0.990496  
29.8765 1.94491e-06 -0.0322644  5.49812 -0.988463  
29.9394 1.92844e-06 -0.0322015  5.49813 -0.986437  
30.0022 1.91213e-06 -0.0321388  5.49814 -0.98442  
30.065 1.89599e-06 -0.0320763  5.49815 -0.982411  
30.1279 1.88001e-06 -0.0320141  5.49816 -0.980411  
30.1907 1.8642e-06 -0.0319521  5.49817 -0.978418  
30.2535 1.84854e-06 -0.0318904  5.49817 -0.976434  
30.3164 1.83304e-06 -0.0318289  5.49818 -0.974458  
30.3792 1.8177e-06 -0.0317676  5.49819 -0.972489  
30.442 1.80251e-06 -0.0317065  5.4982 -0.970529  
30.5049 1.78748e-06 -0.0316457  5.49821 -0.968576  
30.5677 1.77259e-06 -0.0315851  5.49822 -0.966632  
30.6305 1.75786e-06 -0.0315247  5.49822 -0.964695  
30.6934 1.74327e-06 -0.0314645  5.49823 -0.962766  
30.7562 1.72882e-06 -0.0314045  5.49824 -0.960844  
30.819 1.71452e-06 -0.0313448  5.49825 -0.958931  
30.8819 1.70037e-06 -0.0312853  5.49826 -0.957024  
30.9447 1.68635e-06 -0.031226  5.49826 -0.955126  
31.0075 1.67247e-06 -0.0311669  5.49827 -0.953235  
31.0704 1.65873e-06 -0.0311081  5.49828 -0.951351  
31.1332 1.64512e-06 -0.0310494  5.49829 -0.949475  
31.196 1.63165e-06 -0.030991  5.49829 -0.947606  
31.2588 1.61831e-06 -0.0309327  5.4983 -0.945745  
31.3217 1.6051e-06 -0.0308747  5.49831 -0.94389  
31.3845 1.59202e-06 -0.0308169  5.49832 -0.942043  
31.4473 1.57906e-06 -0.0307593  5.49832 -0.940204  
31.5102 1.56624e-06 -0.0307019  5.49833 -0.938371  
31.573 1.55354e-06 -0.0306448  5.49834 -0.936546  
31.6358 1.54096e-06 -0.0305878  5.49835 -0.934727  
31.6987 1.5285e-06 -0.030531  5.49835 -0.932916  
31.7615 1.51617e-06 -0.0304744  5.49836 -0.931112  
31.8243 1.50395e-06 -0.0304181  5.49837 -0.929315  
31.8872 1.49185e-06 -0.0303619  5.49837 -0.927524  
31.95 1.47987e-06 -0.0303059  5.49838 -0.925741  
32.0128 1.468e-06 -0.0302502  5.49839 -0.923964  
32.0757 1.45625e-06 -0.0301946  5.4984 -0.922194  
32.1385 1.44461e-06 -0.0301392  5.4984 -0.920431  
32.2013 1.43308e-06 -0.030084  5.49841 -0.918675  
32.2642 1.42166e-06 -0.030029  5.49842 -0.916925  
32.327 1.41035e-06 -0.0299743  5.49842 -0.915182  
32.3898 1.39915e-06 -0.0299197  5.49843 -0.913446  
32.4527 1.38806e-06 -0.0298653  5.49844 -0.911716  
32.5155 1.37707e-06 -0.029811  5.49844 -0.909993  
32.5783 1.36618e-06 -0.029757  5.49845 -0.908276  
32.6411 1.3554e-06 -0.0297032  5.49846 -0.906566  
32.704 1.34472e-06 -0.0296495  5.49846 -0.904862  
32.7668 1.33414e-06 -0.0295961  5.49847 -0.903164  
32.8296 1.32365e-06 -0.0295428  5.49848 -0.901473  
32.8925 1.31327e-06 -0.0294897  5.49848 -0.899789  
32.9553 1.30299e-06 -0.0294368  5.49849 -0.89811  
33.0181 1.2928e-06 -0.0293841  5.4985 -0.896438  
33.081 1.2827e-06 -0.0293316  5.4985 -0.894772  
33.1438 1.2727e-06 -0.0292792  5.49851 -0.893112  
33.2066 1.2628e-06 -0.029227  5.49852 -0.891458  
33.2695 1.25298e-06 -0.029175  5.49852 -0.889811  
33.3323 1.24326e-06 -0.0291232  5.49853 -0.888169  
33.3951 1.23362e-06 -0.0290716  5.49853 -0.886534  
33.458 1.22408e-06 -0.0290201  5.49854 -0.884904  
33.5208 1.21462e-06 -0.0289688  5.49855 -0.883281  
33.5836 1.20525e-06 -0.0289177  5.49855 -0.881663  
33.6465 1.19597e-06 -0.0288668  5.49856 -0.880051  
33.7093 1.18677e-06 -0.028816  5.49857 -0.878446  
33.7721 1.17766e-06 -0.0287654  5.49857 -0.876846  
33.835 1.16863e-06 -0.028715  5.49858 -0.875252  
33.8978 1.15968e-06 -0.0286648  5.49858 -0.873663  
33.9606 1.15082e-06 -0.0286147  5.49859 -0.872081  
34.0234 1.14203e-06 -0.0285648  5.49859 -0.870504  
34.0863 1.13333e-06 -0.0285151  5.4986 -0.868933  
34.1491 1.1247e-06 -0.0284655  5.49861 -0.867367  
34.2119 1.11616e-06 -0.0284161  5.49861 -0.865808  
34.2748 1.10769e-06 -0.0283669  5.49862 -0.864253  
34.3376 1.09929e-06 -0.0283178  5.49862 -0.862705  
34.4004 1.09098e-06 -0.0282689  5.49863 -0.861162  
34.4633 1.08273e-06 -0.0282201  5.49864 -0.859624  
34.5261 1.07457e-06 -0.0281716  5.49864 -0.858092  
34.5889 1.06647e-06 -0.0281231  5.49865 -0.856565  
34.6518 1.05845e-06 -0.0280749  5.49865 -0.855044  
34.7146 1.0505e-06 -0.0280268  5.49866 -0.853528  
34.7774 1.04262e-06 -0.0279789  5.49866 -0.852017  
34.8403 1.03481e-06 -0.0279311  5.49867 -0.850512  
34.9031 1.02707e-06 -0.0278835  5.49867 -0.849012  
34.9659 1.0194e-06 -0.027836  5.49868 -0.847518  
35.0288 1.0118e-06 -0.0277887  5.49868 -0.846029  
35.0916 1.00426e-06 -0.0277415  5.49869 -0.844544  
35.1544 9.96793e-07 -0.0276946  5.4987 -0.843066  
35.2173 9.89391e-07 -0.0276477  5.4987 -0.841592  
35.2801 9.82054e-07 -0.027601  5.49871 -0.840123  
35.3429 9.74782e-07 -0.0275545  5.49871 -0.83866  
35.4057 9.67574e-07 -0.0275081  5.49872 -0.837201  
35.4686 9.60429e-07 -0.0274619  5.49872 -0.835748  
35.5314 9.53347e-07 -0.0274158  5.49873 -0.8343  
35.5942 9.46327e-07 -0.0273699  5.49873 -0.832857  
35.6571 9.39368e-07 -0.0273241  5.49874 -0.831418  
35.7199 9.3247e-07 -0.0272785  5.49874 -0.829985  
35.7827 9.25633e-07 -0.027233  5.49875 -0.828557  
35.8456 9.18854e-07 -0.0271877  5.49875 -0.827133  
35.9084 9.12135e-07 -0.0271425  5.49876 -0.825714  
35.9712 9.05474e-07 -0.0270974  5.49876 -0.824301  
36.0341 8.98871e-07 -0.0270526  5.49877 -0.822892  
36.0969 8.92325e-07 -0.0270078  5.49877 -0.821488  
36.1597 8.85835e-07 -0.0269632  5.49878 -0.820088  
36.2226 8.79402e-07 -0.0269187  5.49878 -0.818694  
36.2854 8.73024e-07 -0.0268744  5.49879 -0.817304  
36.3482 8.667e-07 -0.0268302  5.49879 -0.815919  
36.4111 8.60431e-07 -0.0267862  5.4988 -0.814538  
36.4739 8.54216e-07 -0.0267423  5.4988 -0.813163  
36.5367 8.48054e-07 -0.0266985  5.49881 -0.811792  
36.5996 8.41945e-07 -0.0266549  5.49881 -0.810425  
36.6624 8.35888e-07 -0.0266114  5.49882 -0.809063  
36.7252 8.29882e-07 -0.0265681  5.49882 -0.807706  
36.788 8.23928e-07 -0.0265249  5.49882 -0.806353  
36.8509 8.18024e-07 -0.0264818  5.49883 -0.805005  
36.9137 8.1217e-07 -0.0264389  5.49883 -0.803661  
36.9765 8.06366e-07 -0.0263961  5.49884 -0.802322  
37.0394 8.00611e-07 -0.0263534  5.49884 -0.800987  
37.1022 7.94905e-07 -0.0263109  5.49885 -0.799656  
37.165 7.89246e-07 -0.0262685  5.49885 -0.79833  
37.2279 7.83636e-07 -0.0262263  5.49886 -0.797009  
37.2907 7.78072e-07 -0.0261841  5.49886 -0.795692  
37.3535 7.72555e-07 -0.0261421  5.49887 -0.794379  
37.4164 7.67085e-07 -0.0261003  5.49887 -0.79307  
37.4792 7.6166e-07 -0.0260585  5.49887 -0.791766  
37.542 7.56281e-07 -0.0260169  5.49888 -0.790466  
37.6049 7.50946e-07 -0.0259755  5.49888 -0.78917  
37.6677 7.45657e-07 -0.0259341  5.49889 -0.787879  
37.7305 7.40411e-07 -0.0258929  5.49889 -0.786592  
37.7934 7.35208e-07 -0.0258518  5.4989 -0.785308  
37.8562 7.30049e-07 -0.0258109  5.4989 -0.78403  
37.919 7.24933e-07 -0.02577  5.4989 -0.782755  
37.9819 7.19859e-07 -0.0257293  5.49891 -0.781484  
38.0447 7.14826e-07 -0.0256887  5.49891 -0.780218  
38.1075 7.09836e-07 -0.0256483  5.49892 -0.778955  
38.1704 7.04886e-07 -0.0256079  5.49892 -0.777697  
38.2332 6.99977e-07 -0.0255677  5.49893 -0.776443  
38.296 6.95109e-07 -0.0255276  5.49893 -0.775193  
38.3588 6.9028e-07 -0.0254877  5.49893 -0.773947  
38.4217 6.85491e-07 -0.0254478  5.49894 -0.772704  
38.4845 6.80742e-07 -0.0254081  5.49894 -0.771466  
38.5473 6.76031e-07 -0.0253685  5.49895 -0.770232  
38.6102 6.71358e-07 -0.025329  5.49895 -0.769002  
38.673 6.66723e-07 -0.0252896  5.49895 -0.767775  
38.7358 6.62127e-07 -0.0252504  5.49896 -0.766553  
38.7987 6.57567e-07 -0.0252113  5.49896 -0.765334  
38.8615 6.53045e-07 -0.0251723  5.49897 -0.76412  
38.9243 6.48559e-07 -0.0251334  5.49897 -0.762909  
38.9872 6.44109e-07 -0.0250946  5.49897 -0.761702  
39.05 6.39695e-07 -0.025056  5.49898 -0.760499  
39.1128 6.35317e-07 -0.0250174  5.49898 -0.759299  
39.1757 6.30974e-07 -0.024979  5.49899 -0.758104  
39.2385 6.26667e-07 -0.0249407  5.49899 -0.756912  
39.3013 6.22393e-07 -0.0249025  5.49899 -0.755724  
39.3642 6.18154e-07 -0.0248644  5.499 -0.754539  
39.427 6.13949e-07 -0.0248265  5.499 -0.753359  
39.4898 6.09778e-07 -0.0247886  5.499 -0.752182  
39.5527 6.05639e-07 -0.0247509  5.49901 -0.751008  
39.6155 6.01534e-07 -0.0247133  5.49901 -0.749839  
39.6783 5.97462e-07 -0.0246757  5.49902 -0.748672  
39.7411 5.93422e-07 -0.0246383  5.49902 -0.74751  
39.804 5.89414e-07 -0.024601  5.49902 -0.746351  
39.8668 5.85438e-07 -0.0245639  5.49903 -0.745196  
39.9296 5.81493e-07 -0.0245268  5.49903 -0.744044  
39.9925 5.77579e-07 -0.0244898  5.49903 -0.742896  
40.0553 5.73697e-07 -0.024453  5.49904 -0.741752  
40.1181 5.69845e-07 -0.0244162  5.49904 -0.740611  
40.181 5.66023e-07 -0.0243796  5.49904 -0.739473  
40.2438 5.62231e-07 -0.0243431  5.49905 -0.738339  
40.3066 5.5847e-07 -0.0243066  5.49905 -0.737208  
40.3695 5.54737e-07 -0.0242703  5.49906 -0.736081  
40.4323 5.51034e-07 -0.0242341  5.49906 -0.734958  
40.4951 5.4736e-07 -0.024198  5.49906 -0.733837  
40.558 5.43715e-07 -0.024162  5.49907 -0.732721  
40.6208 5.40098e-07 -0.0241261  5.49907 -0.731607  
40.6836 5.36509e-07 -0.0240903  5.49907 -0.730497  
40.7465 5.32948e-07 -0.0240546  5.49908 -0.72939  
40.8093 5.29415e-07 -0.0240191  5.49908 -0.728287  
40.8721 5.25909e-07 -0.0239836  5.49908 -0.727187  
40.935 5.22431e-07 -0.0239482  5.49909 -0.72609  
40.9978 5.18979e-07 -0.0239129  5.49909 -0.724997  
41.0606 5.15554e-07 -0.0238778  5.49909 -0.723907  
41.1234 5.12155e-07 -0.0238427  5.4991 -0.72282  
41.1863 5.08783e-07 -0.0238077  5.4991 -0.721736  
41.2491 5.05437e-07 -0.0237728  5.4991 -0.720656  
41.3119 5.02116e-07 -0.0237381  5.49911 -0.719579  
41.3748 4.98821e-07 -0.0237034  5.49911 -0.718505  
41.4376 4.95551e-07 -0.0236688  5.49911 -0.717434  
41.5004 4.92306e-07 -0.0236344  5.49912 -0.716367  
41.5633 4.89086e-07 -0.0236  5.49912 -0.715302  
41.6261 4.8589e-07 -0.0235657  5.49912 -0.714241  
41.6889 4.82719e-07 -0.0235315  5.49913 -0.713183  
41.7518 4.79572e-07 -0.0234974  5.49913 -0.712128  
41.8146 4.76449e-07 -0.0234635  5.49913 -0.711076  
41.8774 4.7335e-07 -0.0234296  5.49913 -0.710028  
41.9403 4.70274e-07 -0.0233958  5.49914 -0.708982  
42.0031 4.67222e-07 -0.0233621  5.49914 -0.70794  
42.0659 4.64192e-07 -0.0233285  5.49914 -0.7069  
42.1288 4.61186e-07 -0.023295  5.49915 -0.705864  
42.1916 4.58202e-07 -0.0232615  5.49915 -0.70483  
42.2544 4.55241e-07 -0.0232282  5.49915 -0.7038  
42.3173 4.52302e-07 -0.023195  5.49916 -0.702773  
42.3801 4.49385e-07 -0.0231619  5.49916 -0.701748  
42.4429 4.4649e-07 -0.0231288  5.49916 -0.700727  
42.5057 4.43616e-07 -0.0230959  5.49917 -0.699709  
42.5686 4.40765e-07 -0.023063  5.49917 -0.698693  
42.6314 4.37934e-07 -0.0230302  5.49917 -0.697681  
42.6942 4.35125e-07 -0.0229976  5.49917 -0.696671  
42.7571 4.32337e-07 -0.022965  5.49918 -0.695664  
42.8199 4.29569e-07 -0.0229325  5.49918 -0.694661  
42.8827 4.26822e-07 -0.0229001  5.49918 -0.69366  
42.9456 4.24096e-07 -0.0228678  5.49919 -0.692662  
43.0084 4.21389e-07 -0.0228356  5.49919 -0.691667  
43.0712 4.18703e-07 -0.0228034  5.49919 -0.690674  
43.1341 4.16037e-07 -0.0227714  5.4992 -0.689685  
43.1969 4.1339e-07 -0.0227394  5.4992 -0.688698  
43.2597 4.10763e-07 -0.0227075  5.4992 -0.687715  
43.3226 4.08155e-07 -0.0226758  5.4992 -0.686734  
43.3854 4.05567e-07 -0.0226441  5.49921 -0.685756  
43.4482 4.02997e-07 -0.0226125  5.49921 -0.68478  
43.5111 4.00446e-07 -0.0225809  5.49921 -0.683808  
43.5739 3.97915e-07 -0.0225495  5.49921 -0.682838  
43.6367 3.95401e-07 -0.0225182  5.49922 -0.681871  
43.6996 3.92906e-07 -0.0224869  5.49922 -0.680906  
43.7624 3.9043e-07 -0.0224557  5.49922 -0.679945  
43.8252 3.87971e-07 -0.0224246  5.49923 -0.678986  
43.888 3.8553e-07 -0.0223936  5.49923 -0.678029  
43.9509 3.83108e-07 -0.0223627  5.49923 -0.677076  
44.0137 3.80702e-07 -0.0223318  5.49923 -0.676125  
44.0765 3.78315e-07 -0.0223011  5.49924 -0.675177  
44.1394 3.75944e-07 -0.0222704  5.49924 -0.674231  
44.2022 3.73591e-07 -0.0222398  5.49924 -0.673288  
44.265 3.71255e-07 -0.0222093  5.49924 -0.672348  
44.3279 3.68935e-07 -0.0221789  5.49925 -0.67141  
44.3907 3.66633e-07 -0.0221485  5.49925 -0.670475  
44.4535 3.64347e-07 -0.0221183  5.49925 -0.669543  
44.5164 3.62077e-07 -0.0220881  5.49926 -0.668613  
44.5792 3.59824e-07 -0.022058  5.49926 -0.667686  
44.642 3.57587e-07 -0.022028  5.49926 -0.666761  
44.7049 3.55366e-07 -0.021998  5.49926 -0.665839  
44.7677 3.53161e-07 -0.0219682  5.49927 -0.664919  
44.8305 3.50972e-07 -0.0219384  5.49927 -0.664002  
44.8934 3.48798e-07 -0.0219087  5.49927 -0.663088  
44.9562 3.4664e-07 -0.021879  5.49927 -0.662176  
45.019 3.44498e-07 -0.0218495  5.49928 -0.661266  
45.0819 3.4237e-07 -0.02182  5.49928 -0.660359  
45.1447 3.40258e-07 -0.0217906  5.49928 -0.659455  
45.2075 3.38161e-07 -0.0217613  5.49928 -0.658553  
45.2704 3.36079e-07 -0.0217321  5.49929 -0.657653  
45.3332 3.34011e-07 -0.0217029  5.49929 -0.656756  
45.396 3.31958e-07 -0.0216739  5.49929 -0.655861  
45.4588 3.2992e-07 -0.0216449  5.49929 -0.654969  
45.5217 3.27896e-07 -0.0216159  5.4993 -0.654079  
45.5845 3.25886e-07 -0.0215871  5.4993 -0.653192  
45.6473 3.23891e-07 -0.0215583  5.4993 -0.652307  
45.7102 3.21909e-07 -0.0215296  5.4993 -0.651424  
45.773 3.19942e-07 -0.021501  5.49931 -0.650544  
45.8358 3.17988e-07 -0.0214724  5.49931 -0.649666  
45.8987 3.16048e-07 -0.021444  5.49931 -0.648791  
45.9615 3.14122e-07 -0.0214156  5.49931 -0.647918  
46.0243 3.12209e-07 -0.0213872  5.49932 -0.647047  
46.0872 3.10309e-07 -0.021359  5.49932 -0.646178  
46.15 3.08423e-07 -0.0213308  5.49932 -0.645312  
46.2128 3.0655e-07 -0.0213027  5.49932 -0.644448  
46.2757 3.0469e-07 -0.0212746  5.49932 -0.643587  
46.3385 3.02843e-07 -0.0212467  5.49933 -0.642728  
46.4013 3.01008e-07 -0.0212188  5.49933 -0.641871  
46.4642 2.99187e-07 -0.021191  5.49933 -0.641016  
46.527 2.97378e-07 -0.0211632  5.49933 -0.640164  
46.5898 2.95582e-07 -0.0211356  5.49934 -0.639314  
46.6527 2.93798e-07 -0.021108  5.49934 -0.638466  
46.7155 2.92026e-07 -0.0210804  5.49934 -0.63762  
46.7783 2.90267e-07 -0.021053  5.49934 -0.636777  
46.8411 2.88519e-07 -0.0210256  5.49935 -0.635936  
46.904 2.86784e-07 -0.0209982  5.49935 -0.635097  
46.9668 2.85061e-07 -0.020971  5.49935 -0.63426  
47.0296 2.83349e-07 -0.0209438  5.49935 -0.633426  
47.0925 2.8165e-07 -0.0209167  5.49935 -0.632594  
47.1553 2.79962e-07 -0.0208897  5.49936 -0.631763  
47.2181 2.78285e-07 -0.0208627  5.49936 -0.630936  
47.281 2.7662e-07 -0.0208358  5.49936 -0.63011  
47.3438 2.74967e-07 -0.0208089  5.49936 -0.629286  
47.4066 2.73324e-07 -0.0207822  5.49937 -0.628465  
47.4695 2.71693e-07 -0.0207555  5.49937 -0.627645  
47.5323 2.70073e-07 -0.0207288  5.49937 -0.626828  
47.5951 2.68464e-07 -0.0207023  5.49937 -0.626013  
47.658 2.66866e-07 -0.0206758  5.49937 -0.6252  
47.7208 2.65279e-07 -0.0206493  5.49938 -0.624389  
47.7836 2.63702e-07 -0.020623  5.49938 -0.623581  
47.8465 2.62136e-07 -0.0205967  5.49938 -0.622774  
47.9093 2.60581e-07 -0.0205704  5.49938 -0.62197  
47.9721 2.59036e-07 -0.0205442  5.49938 -0.621167  
48.035 2.57502e-07 -0.0205181  5.49939 -0.620367  
48.0978 2.55978e-07 -0.0204921  5.49939 -0.619568  
48.1606 2.54465e-07 -0.0204661  5.49939 -0.618772  
48.2234 2.52961e-07 -0.0204402  5.49939 -0.617978  
48.2863 2.51468e-07 -0.0204144  5.49939 -0.617186  
48.3491 2.49984e-07 -0.0203886  5.4994 -0.616395  
48.4119 2.48511e-07 -0.0203629  5.4994 -0.615607  
48.4748 2.47047e-07 -0.0203372  5.4994 -0.614821  
48.5376 2.45594e-07 -0.0203116  5.4994 -0.614037  
48.6004 2.4415e-07 -0.0202861  5.4994 -0.613255  
48.6633 2.42715e-07 -0.0202607  5.49941 -0.612475  
48.7261 2.4129e-07 -0.0202353  5.49941 -0.611696  
48.7889 2.39875e-07 -0.0202099  5.49941 -0.61092  
48.8518 2.38469e-07 -0.0201846  5.49941 -0.610146  
48.9146 2.37072e-07 -0.0201594  5.49941 -0.609374  
48.9774 2.35685e-07 -0.0201343  5.49942 -0.608603  
49.0403 2.34307e-07 -0.0201092  5.49942 -0.607835  
49.1031 2.32938e-07 -0.0200842  5.49942 -0.607069  
49.1659 2.31578e-07 -0.0200592  5.49942 -0.606304  
49.2288 2.30227e-07 -0.0200343  5.49942 -0.605541  
49.2916 2.28885e-07 -0.0200095  5.49943 -0.604781  
49.3544 2.27552e-07 -0.0199847  5.49943 -0.604022  
49.4173 2.26227e-07 -0.01996  5.49943 -0.603265  
49.4801 2.24912e-07 -0.0199353  5.49943 -0.60251  
49.5429 2.23605e-07 -0.0199107  5.49943 -0.601757  
49.6057 2.22306e-07 -0.0198861  5.49944 -0.601006  
49.6686 2.21016e-07 -0.0198617  5.49944 -0.600257  
49.7314 2.19735e-07 -0.0198372  5.49944 -0.599509  
49.7942 2.18462e-07 -0.0198129  5.49944 -0.598764  
49.8571 2.17197e-07 -0.0197886  5.49944 -0.59802  
49.9199 2.1594e-07 -0.0197643  5.49945 -0.597278  
49.9827 2.14692e-07 -0.0197401  5.49945 -0.596538  
50.0456 2.13452e-07 -0.019716  5.49945 -0.5958  
50.1084 2.1222e-07 -0.0196919  5.49945 -0.595063  
50.1712 2.10996e-07 -0.0196679  5.49945 -0.594329  
50.2341 2.0978e-07 -0.019644  5.49945 -0.593596  
50.2969 2.08571e-07 -0.0196201  5.49946 -0.592865  
50.3597 2.07371e-07 -0.0195962  5.49946 -0.592136  
50.4226 2.06178e-07 -0.0195724  5.49946 -0.591408  
50.4854 2.04993e-07 -0.0195487  5.49946 -0.590683  
50.5482 2.03816e-07 -0.0195251  5.49946 -0.589959  
50.6111 2.02647e-07 -0.0195014  5.49947 -0.589237  
50.6739 2.01484e-07 -0.0194779  5.49947 -0.588517  
50.7367 2.0033e-07 -0.0194544  5.49947 -0.587798  
50.7996 1.99183e-07 -0.0194309  5.49947 -0.587081  
50.8624 1.98043e-07 -0.0194075  5.49947 -0.586366  
50.9252 1.9691e-07 -0.0193842  5.49947 -0.585653  
50.988 1.95785e-07 -0.0193609  5.49948 -0.584941  
51.0509 1.94667e-07 -0.0193377  5.49948 -0.584232  
51.1137 1.93556e-07 -0.0193145  5.49948 -0.583523  
51.1765 1.92453e-07 -0.0192914  5.49948 -0.582817  
51.2394 1.91356e-07 -0.0192684  5.49948 -0.582112  
51.3022 1.90266e-07 -0.0192454  5.49948 -0.581409  
51.365 1.89184e-07 -0.0192224  5.49949 -0.580708  
51.4279 1.88108e-07 -0.0191995  5.49949 -0.580009  
51.4907 1.87039e-07 -0.0191767  5.49949 -0.579311  
51.5535 1.85977e-07 -0.0191539  5.49949 -0.578614  
51.6164 1.84921e-07 -0.0191311  5.49949 -0.57792  
51.6792 1.83872e-07 -0.0191085  5.49949 -0.577227  
51.742 1.8283e-07 -0.0190858  5.4995 -0.576536  
51.8049 1.81795e-07 -0.0190633  5.4995 -0.575846  
51.8677 1.80766e-07 -0.0190407  5.4995 -0.575158  
51.9305 1.79743e-07 -0.0190183  5.4995 -0.574472  
51.9934 1.78727e-07 -0.0189958  5.4995 -0.573787  
52.0562 1.77718e-07 -0.0189735  5.4995 -0.573104  
52.119 1.76715e-07 -0.0189512  5.49951 -0.572423  
52.1819 1.75718e-07 -0.0189289  5.49951 -0.571743  
52.2447 1.74727e-07 -0.0189067  5.49951 -0.571065  
52.3075 1.73743e-07 -0.0188845  5.49951 -0.570388  
52.3703 1.72764e-07 -0.0188624  5.49951 -0.569713  
52.4332 1.71792e-07 -0.0188404  5.49951 -0.56904  
52.496 1.70826e-07 -0.0188183  5.49952 -0.568368  
52.5588 1.69866e-07 -0.0187964  5.49952 -0.567698  
52.6217 1.68912e-07 -0.0187745  5.49952 -0.567029  
52.6845 1.67964e-07 -0.0187526  5.49952 -0.566362  
52.7473 1.67022e-07 -0.0187308  5.49952 -0.565697  
52.8102 1.66086e-07 -0.0187091  5.49952 -0.565033  
52.873 1.65156e-07 -0.0186874  5.49953 -0.564371  
52.9358 1.64231e-07 -0.0186657  5.49953 -0.56371  
52.9987 1.63312e-07 -0.0186441  5.49953 -0.56305  
53.0615 1.62399e-07 -0.0186225  5.49953 -0.562393  
53.1243 1.61491e-07 -0.018601  5.49953 -0.561737  
53.1872 1.6059e-07 -0.0185796  5.49953 -0.561082  
53.25 1.59693e-07 -0.0185582  5.49953 -0.560429  
53.3128 1.58802e-07 -0.0185368  5.49954 -0.559777  
53.3757 1.57917e-07 -0.0185155  5.49954 -0.559127  
53.4385 1.57037e-07 -0.0184942  5.49954 -0.558478  
53.5013 1.56163e-07 -0.018473  5.49954 -0.557831  
53.5642 1.55294e-07 -0.0184518  5.49954 -0.557186  
53.627 1.5443e-07 -0.0184307  5.49954 -0.556542  
53.6898 1.53572e-07 -0.0184097  5.49955 -0.555899  
53.7527 1.52719e-07 -0.0183886  5.49955 -0.555258  
53.8155 1.51871e-07 -0.0183677  5.49955 -0.554618  
53.8783 1.51029e-07 -0.0183467  5.49955 -0.55398  
53.9411 1.50191e-07 -0.0183258  5.49955 -0.553343  
54.004 1.49359e-07 -0.018305  5.49955 -0.552708  
54.0668 1.48532e-07 -0.0182842  5.49955 -0.552074  
54.1296 1.47709e-07 -0.0182635  5.49956 -0.551442  
54.1925 1.46892e-07 -0.0182428  5.49956 -0.550811  
54.2553 1.4608e-07 -0.0182221  5.49956 -0.550182  
54.3181 1.45273e-07 -0.0182015  5.49956 -0.549554  
54.381 1.4447e-07 -0.018181  5.49956 -0.548927  
54.4438 1.43673e-07 -0.0181604  5.49956 -0.548302  
54.5066 1.4288e-07 -0.01814  5.49956 -0.547678  
54.5695 1.42093e-07 -0.0181196  5.49957 -0.547056  
54.6323 1.41309e-07 -0.0180992  5.49957 -0.546435  
54.6951 1.40531e-07 -0.0180789  5.49957 -0.545815  
54.758 1.39758e-07 -0.0180586  5.49957 -0.545197  
54.8208 1.38989e-07 -0.0180383  5.49957 -0.544581  
