0.0314159 0.000252313 -0.00195715  -59.2951 -502.554  
6.44026 5.84693e-05 -0.0928054  5.49279 -3.96725  
6.5031 5.65499e-05 -0.0925371  5.49298 -3.9367  
6.56593 5.46088e-05 -0.0922663  5.49317 -3.90663  
6.62876 5.26554e-05 -0.0919932  5.49337 -3.87703  
6.69159 5.06986e-05 -0.0917179  5.49357 -3.84789  
6.75442 4.87466e-05 -0.0914406  5.49378 -3.8192  
6.81726 4.68072e-05 -0.0911613  5.49398 -3.79095  
6.88009 4.48873e-05 -0.0908803  5.49418 -3.76312  
6.94292 4.29937e-05 -0.0905976  5.49439 -3.73572  
7.00575 4.11322e-05 -0.0903134  5.49459 -3.70872  
7.06858 3.93082e-05 -0.0900278  5.49478 -3.68213  
7.13142 3.75268e-05 -0.0897408  5.49498 -3.65592  
7.19425 3.57924e-05 -0.0894527  5.49517 -3.6301  
7.25708 3.4109e-05 -0.0891635  5.49536 -3.60465  
7.31991 3.248e-05 -0.0888733  5.49554 -3.57956  
7.38274 3.09085e-05 -0.0885822  5.49572 -3.55484  
7.44557 2.93973e-05 -0.0882904  5.49589 -3.53046  
7.50841 2.79486e-05 -0.0879978  5.49606 -3.50642  
7.57124 2.65644e-05 -0.0877045  5.49622 -3.48272  
7.63407 2.52461e-05 -0.0874108  5.49637 -3.45935  
7.6969 2.39952e-05 -0.0871166  5.49652 -3.4363  
7.75973 2.28124e-05 -0.086822  5.49666 -3.41356  
7.82257 2.16985e-05 -0.0865271  5.49679 -3.39113  
7.8854 2.0654e-05 -0.0862319  5.49691 -3.369  
7.94823 1.96788e-05 -0.0859366  5.49703 -3.34717  
8.01106 1.8773e-05 -0.0856412  5.49714 -3.32563  
8.07389 1.79363e-05 -0.0853458  5.49724 -3.30437  
8.13672 1.71682e-05 -0.0850504  5.49733 -3.28339  
8.19956 1.64681e-05 -0.084755  5.49742 -3.26268  
8.26239 1.58352e-05 -0.0844598  5.49749 -3.24224  
8.32522 1.52685e-05 -0.0841648  5.49756 -3.22206  
8.38805 1.47669e-05 -0.08387  5.49762 -3.20213  
8.45088 1.43292e-05 -0.0835755  5.49767 -3.18246  
8.51372 1.39542e-05 -0.0832814  5.49771 -3.16304  
8.57655 1.36405e-05 -0.0829876  5.49774 -3.14386  
8.63938 1.33864e-05 -0.0826943  5.49777 -3.12492  
8.70221 1.31907e-05 -0.0824014  5.49779 -3.10621  
8.76504 1.30515e-05 -0.0821091  5.4978 -3.08773  
8.82788 1.29673e-05 -0.0818173  5.4978 -3.06947  
8.89071 1.29363e-05 -0.0815261  5.49779 -3.05144  
8.95354 1.29569e-05 -0.0812355  5.49777 -3.03362  
9.01637 1.30272e-05 -0.0809455  5.49775 -3.01602  
9.0792 1.31455e-05 -0.0806563  5.49772 -2.99862  
9.14203 1.33101e-05 -0.0803678  5.49768 -2.98143  
9.20487 1.3519e-05 -0.08008  5.49764 -2.96445  
9.2677 1.37705e-05 -0.079793  5.49758 -2.94766  
9.33053 1.40628e-05 -0.0795067  5.49752 -2.93106  
9.39336 1.43941e-05 -0.0792214  5.49746 -2.91466  
9.45619 1.47626e-05 -0.0789368  5.49738 -2.89844  
9.51903 1.51666e-05 -0.0786532  5.4973 -2.88241  
9.58186 1.56043e-05 -0.0783704  5.49722 -2.86656  
9.64469 1.60741e-05 -0.0780886  5.49712 -2.85089  
9.70752 1.65741e-05 -0.0778077  5.49702 -2.83539  
9.77035 1.71028e-05 -0.0775277  5.49692 -2.82007  
9.83319 1.76585e-05 -0.0772487  5.4968 -2.80491  
9.89602 1.82397e-05 -0.0769708  5.49669 -2.78992  
9.95885 1.88446e-05 -0.0766938  5.49656 -2.7751  
10.0217 1.94719e-05 -0.0764178  5.49643 -2.76044  
10.0845 2.01201e-05 -0.0761429  5.4963 -2.74593  
10.1473 2.07875e-05 -0.0758691  5.49616 -2.73158  
10.2102 2.14729e-05 -0.0755963  5.49602 -2.71739  
10.273 2.21749e-05 -0.0753245  5.49587 -2.70334  
10.3358 2.28921e-05 -0.0750539  5.49571 -2.68945  
10.3987 2.36232e-05 -0.0747844  5.49555 -2.6757  
10.4615 2.43669e-05 -0.0745159  5.49539 -2.66209  
10.5243 2.51221e-05 -0.0742486  5.49522 -2.64863  
10.5872 2.58875e-05 -0.0739824  5.49505 -2.6353  
10.65 2.6662e-05 -0.0737174  5.49488 -2.62211  
10.7128 2.74445e-05 -0.0734534  5.4947 -2.60906  
10.7757 2.8234e-05 -0.0731907  5.49452 -2.59614  
10.8385 2.90294e-05 -0.0729291  5.49433 -2.58335  
10.9013 2.98298e-05 -0.0726686  5.49414 -2.57069  
10.9642 3.06341e-05 -0.0724093  5.49395 -2.55816  
11.027 3.14415e-05 -0.0721512  5.49376 -2.54575  
11.0898 3.22512e-05 -0.0718942  5.49356 -2.53346  
11.1527 3.30622e-05 -0.0716385  5.49336 -2.5213  
11.2155 3.38739e-05 -0.0713839  5.49315 -2.50925  
11.2783 3.46853e-05 -0.0711305  5.49295 -2.49733  
11.3411 3.54959e-05 -0.0708783  5.49274 -2.48551  
11.404 3.63049e-05 -0.0706273  5.49253 -2.47382  
11.4668 3.71116e-05 -0.0703774  5.49232 -2.46223  
11.5296 3.79154e-05 -0.0701288  5.4921 -2.45076  
11.5925 3.87157e-05 -0.0698813  5.49189 -2.43939  
11.6553 3.9512e-05 -0.0696351  5.49167 -2.42814  
11.7181 4.03038e-05 -0.06939  5.49145 -2.41699  
11.781 4.10904e-05 -0.0691462  5.49123 -2.40594  
11.8438 4.18714e-05 -0.0689035  5.491 -2.395  
11.9066 4.26464e-05 -0.0686621  5.49078 -2.38416  
11.9695 4.34149e-05 -0.0684218  5.49055 -2.37342  
12.0323 4.41766e-05 -0.0681827  5.49033 -2.36277  
12.0951 4.49311e-05 -0.0679448  5.4901 -2.35223  
12.158 4.56779e-05 -0.0677082  5.48987 -2.34178  
12.2208 4.64168e-05 -0.0674727  5.48964 -2.33143  
12.2836 4.71475e-05 -0.0672383  5.48941 -2.32117  
12.3465 4.78697e-05 -0.0670052  5.48918 -2.311  
12.4093 4.8583e-05 -0.0667733  5.48894 -2.30093  
12.4721 4.92874e-05 -0.0665425  5.48871 -2.29094  
12.535 4.99824e-05 -0.066313  5.48848 -2.28104  
12.5978 4.91468e-05 -0.0660886  5.4886 -2.27028  
12.6606 4.83279e-05 -0.0658653  5.48871 -2.25963  
12.7235 4.75254e-05 -0.0656431  5.48882 -2.24907  
12.7863 4.67389e-05 -0.0654219  5.48894 -2.23862  
12.8491 4.5968e-05 -0.0652018  5.48904 -2.22825  
12.9119 4.52123e-05 -0.0649827  5.48915 -2.21799  
12.9748 4.44715e-05 -0.0647647  5.48926 -2.20782  
13.0376 4.37453e-05 -0.0645478  5.48936 -2.19774  
13.1004 4.30333e-05 -0.0643319  5.48947 -2.18775  
13.1633 4.23353e-05 -0.064117  5.48957 -2.17786  
13.2261 4.16508e-05 -0.0639032  5.48967 -2.16805  
13.2889 4.09796e-05 -0.0636905  5.48977 -2.15833  
13.3518 4.03214e-05 -0.0634788  5.48987 -2.1487  
13.4146 3.9676e-05 -0.0632681  5.48996 -2.13915  
13.4774 3.90429e-05 -0.0630585  5.49006 -2.12969  
13.5403 3.8422e-05 -0.0628499  5.49015 -2.12031  
13.6031 3.78129e-05 -0.0626424  5.49025 -2.11101  
13.6659 3.72154e-05 -0.0624359  5.49034 -2.10179  
13.7288 3.66293e-05 -0.0622304  5.49043 -2.09266  
13.7916 3.60543e-05 -0.0620259  5.49052 -2.0836  
