3.40863 0.0604179 -0.178783  -1.19668 -1.61008  
3.44004 0.0642679 -0.178992  -1.27709 -1.50744  
3.47146 0.0679386 -0.179348  -1.34728 -1.40326  
3.50288 0.0714286 -0.179839  -1.4078 -1.29866  
3.53429 0.0747373 -0.180453  -1.45927 -1.19461  
3.56571 0.0778646 -0.18118  -1.5024 -1.09187  
3.59712 0.0808108 -0.182009  -1.53788 -0.991079  
3.62854 0.0835768 -0.18293  -1.56642 -0.892714  
3.65996 0.0861638 -0.183934  -1.5887 -0.797143  
3.69137 0.0885735 -0.18501  -1.60536 -0.704625  
3.72279 0.090808 -0.18615  -1.61701 -0.615337  
3.7542 0.0928696 -0.187345  -1.62422 -0.529381  
3.78562 0.0947612 -0.188587  -1.62749 -0.446803  
3.81704 0.0964856 -0.189868  -1.62729 -0.367602  
3.84845 0.0980461 -0.191182  -1.62405 -0.291743  
3.87987 0.0994463 -0.192519  -1.61814 -0.219161  
3.91128 0.10069 -0.193875  -1.60989 -0.149772  
3.9427 0.10178 -0.195243  -1.59961 -0.0834777  
3.97411 0.102722 -0.196617  -1.58757 -0.0201682  
4.00553 0.103519 -0.197991  -1.57399 0.0402717  
4.03695 0.104176 -0.19936  -1.55908 0.0979607  
4.06836 0.104697 -0.200719  -1.54302 0.153019  
4.09978 0.105087 -0.202064  -1.52598 0.205565  
4.13119 0.105349 -0.20339  -1.50809 0.255717  
4.16261 0.105489 -0.204693  -1.48947 0.303589  
4.19403 0.105511 -0.205971  -1.47023 0.349291  
4.22544 0.105421 -0.207218  -1.45046 0.392931  
4.25686 0.105221 -0.208433  -1.43024 0.434608  
4.28827 0.104918 -0.209612  -1.40964 0.474422  
4.31969 0.104516 -0.210753  -1.38873 0.512465  
4.35111 0.104019 -0.211853  -1.36755 0.548824  
4.38252 0.103431 -0.212911  -1.34616 0.583583  
4.41394 0.102759 -0.213924  -1.32458 0.616821  
4.44535 0.102005 -0.214891  -1.30286 0.648612  
4.47677 0.101174 -0.21581  -1.28102 0.679026  
4.50819 0.100271 -0.216681  -1.2591 0.708129  
4.5396 0.0992991 -0.217502  -1.23711 0.735985  
4.57102 0.0982637 -0.218272  -1.21506 0.762651  
4.60243 0.0971683 -0.21899  -1.19299 0.788183  
4.63385 0.096017 -0.219656  -1.1709 0.812633  
4.66527 0.0948136 -0.22027  -1.1488 0.836051  
4.69668 0.093562 -0.22083  -1.12671 0.858482  
4.7281 0.0922659 -0.221338  -1.10463 0.879971  
4.75951 0.090929 -0.221793  -1.08258 0.900557  
4.79093 0.0895546 -0.222194  -1.06055 0.920279  
4.82234 0.0881463 -0.222543  -1.03856 0.939175  
4.85376 0.0867073 -0.22284  -1.01661 0.957277  
4.88518 0.0852409 -0.223084  -0.994699 0.974618  
4.91659 0.0837502 -0.223277  -0.972842 0.991229  
4.94801 0.082238 -0.223419  -0.951038 1.00714  
4.97942 0.0807075 -0.22351  -0.929292 1.02237  
5.01084 0.0791612 -0.223552  -0.907606 1.03695  
5.04226 0.0776019 -0.223545  -0.885983 1.05091  
5.07367 0.0760321 -0.223489  -0.864427 1.06427  
5.10509 0.0744544 -0.223387  -0.842941 1.07704  
5.1365 0.0728711 -0.223238  -0.821528 1.08925  
5.16792 0.0712845 -0.223043  -0.80019 1.10091  
5.19934 0.0696966 -0.222805  -0.778932 1.11205  
5.23075 0.0681097 -0.222523  -0.757755 1.12269  
5.26217 0.0665256 -0.222199  -0.736663 1.13282  
5.29358 0.0649463 -0.221834  -0.71566 1.14249  
5.325 0.0633734 -0.221429  -0.694748 1.15168  
5.35642 0.0618088 -0.220985  -0.673932 1.16043  
5.38783 0.060254 -0.220504  -0.653216 1.16873  
5.41925 0.0587106 -0.219985  -0.632602 1.17662  
5.45066 0.0571798 -0.219432  -0.612095 1.18408  
5.48208 0.0556633 -0.218845  -0.5917 1.19114  
5.5135 0.054162 -0.218224  -0.57142 1.19781  
5.54491 0.0526774 -0.217572  -0.55126 1.20409  
5.57633 0.0512104 -0.216889  -0.531225 1.20999  
5.60774 0.0497621 -0.216177  -0.511319 1.21553  
5.63916 0.0483335 -0.215437  -0.491549 1.2207  
5.67057 0.0469254 -0.214669  -0.471917 1.22552  
5.70199 0.0455388 -0.213876  -0.452431 1.23  
5.73341 0.0441743 -0.213058  -0.433096 1.23413  
5.76482 0.0428327 -0.212217  -0.413917 1.23793  
5.79624 0.0415146 -0.211354  -0.3949 1.24141  
5.82765 0.0402205 -0.210469  -0.376051 1.24457  
5.85907 0.0389511 -0.209564  -0.357377 1.2474  
5.89049 0.0377067 -0.20864  -0.338883 1.24993  
5.9219 0.0364877 -0.207698  -0.320576 1.25215  
5.95332 0.0352947 -0.206739  -0.302462 1.25408  
