0.0314159265359 0.4461511823677 -0.2472944348718   0.0250543270983 -0.8097573616771   -0.3590776239582 -0.1915359262209   
0.09424777960769 0.3856073646652 -0.2510363555881   5.498527919182e-05 -0.7107746433395   -0.3523710023239 -0.1937473824071   
0.1570796326795 0.380738854939 -0.2184983318406   -0.01079172525665 -0.658392043677   -0.3335806227888 -0.211336800047   
0.2199114857513 0.3531006271107 -0.2528515594641   -0.01298480177354 -0.605818874303   -0.3263567078127 -0.2164841278731   
0.2827433388231 0.3295304291763 -0.2438539093527   -0.01050096720542 -0.5626247054185   -0.3107858379024 -0.2140276319555   
0.3455751918949 0.311323608402 -0.2317486240022   -0.00857520386802 -0.5312266034795   -0.2945330402165 -0.2117159335359   
0.4084070449667 0.2963892474283 -0.2270090519804   -0.007838234971349 -0.5065387353394   -0.2804692614161 -0.2110331987197   
0.4712388980385 0.2832780945565 -0.2271437742002   -0.007697745966945 -0.4848075817246   -0.2685700924347 -0.2114217265982   
0.5340707511103 0.2712821402788 -0.2286002573497   -0.007634511624733 -0.464502847928   -0.258168426528 -0.212166270865   
0.5969026041821 0.26010186149 -0.2294397989532   -0.007403246142603 -0.44533812652   -0.2487084677114 -0.212822711247   
0.6597344572539 0.2496188737166 -0.2290873010081   -0.006951822363777 -0.4274665982336   -0.2398615876042 -0.2131977662038   
0.7225663103257 0.2397822074737 -0.227670541974   -0.006322066749271 -0.4110810126372   -0.2314691420503 -0.2132504768766   
0.7853981633974 0.2305595306681 -0.2255557506823   -0.00558560436401 -0.3962743119742   -0.2234693283164 -0.2130130335157   
0.8482300164692 0.2219194544704 -0.2231105592876   -0.004811545792824 -0.3830238031132   -0.2158453357196 -0.2125430395688   
0.911061869541 0.2138271110188 -0.2206135170544   -0.00405391832476 -0.3712199835973   -0.2085955763363 -0.2118991861673   
0.9738937226128 0.2062446358055 -0.2182389106567   -0.003349323353861 -0.3607032642579   -0.2017191341401 -0.211131024852   
1.036725575685 0.199132967595 -0.2160730578299   -0.002719060069029 -0.3512946492367   -0.1952100927792 -0.2102762227691   
1.099557428756 0.192453585041 -0.2141392992198   -0.002172664010818 -0.3428170290892   -0.1890564455125 -0.2093613142924   
1.162389281828 0.1861697719968 -0.2124215138152   -0.001711432448087 -0.3351079459156   -0.183241045841 -0.2084037724844   
1.2252211349 0.1802473819411 -0.2108826034251   -0.00133137686166 -0.3280259172903   -0.1777432313759 -0.2074143145102   
1.288052987972 0.1746551999294 -0.2094774961656   -0.001025470797992 -0.3214524068048   -0.1725404531121 -0.2063989625463   
1.350884841044 0.1693650203713 -0.2081614589192   -0.000785248286959 -0.3152911216402   -0.1676096349384 -0.2053606981117   
1.413716694115 0.1643515454424 -0.2068948427003   -0.0006018738727554 -0.309465849868   -0.1629281874591 -0.204300699671   
1.476548547187 0.1595921795545 -0.2056453251047   -0.0004668117912677 -0.3039176491437   -0.1584746946605 -0.203219217153   
1.539380400259 0.1550667757829 -0.2043885161064   -0.000372208005323 -0.2986018944453   -0.154229329593 -0.2021161562061   
1.602212253331 0.1507573675578 -0.2031075748201   -0.0003110744554585 -0.2934854782829   -0.1501740607145 -0.2009914432917   
1.665044106403 0.1466479079963 -0.2017922928414   -0.0002773443776529 -0.2885443138601   -0.1462927091852 -0.1998452326463   
1.727875959474 0.1427240281244 -0.2004379480563   -0.0002658476350374 -0.2837612009183   -0.14257090386 -0.198678003863   
