2.67035 0.0995984 -0.178477  2.49897 -1.19314  -0.00102114 -0.227082  3.00579 -1.32448  -0.100037 -0.179679  3.45383 -1.16556  
2.73319 0.097473 -0.177137  2.5018 -1.19527  -0.00108082 -0.224171  3.00819 -1.32298  -0.0978572 -0.178394  3.45049 -1.16758  
2.79602 0.095415 -0.175829  2.50497 -1.19682  -0.00113878 -0.221352  3.01057 -1.32106  -0.0957418 -0.177115  3.44711 -1.16937  
2.85885 0.0934212 -0.174551  2.50851 -1.19778  -0.00119478 -0.218618  3.01294 -1.3187  -0.0936883 -0.175843  3.44368 -1.17091  
2.92168 0.0914885 -0.173304  2.51242 -1.19815  -0.00124859 -0.215968  3.01529 -1.31591  -0.0916948 -0.174579  3.44021 -1.17222  
2.98451 0.0896139 -0.172086  2.5167 -1.19794  -0.00130004 -0.213396  3.01761 -1.3127  -0.0897592 -0.173324  3.43668 -1.17329  
3.04734 0.0877948 -0.170897  2.52136 -1.19715  -0.00134894 -0.2109  3.0199 -1.30908  -0.0878796 -0.172079  3.43311 -1.17412  
3.11018 0.0860286 -0.169735  2.52637 -1.19579  -0.00139515 -0.208476  3.02216 -1.30507  -0.0860543 -0.170843  3.42949 -1.17471  
3.17301 0.084313 -0.168599  2.53173 -1.19388  -0.00143854 -0.206119  3.02437 -1.30067  -0.0842813 -0.169618  3.42582 -1.17506  
3.23584 0.0826458 -0.167488  2.53742 -1.19143  -0.00147901 -0.203828  3.02654 -1.29591  -0.082559 -0.168403  3.42211 -1.17517  
3.29867 0.0810248 -0.1664  2.5434 -1.18846  -0.00151646 -0.201598  3.02865 -1.29081  -0.0808858 -0.1672  3.41836 -1.17504  
3.3615 0.0794481 -0.165333  2.54967 -1.18499  -0.00155083 -0.199427  3.03071 -1.2854  -0.0792601 -0.166008  3.41457 -1.17467  
3.42434 0.0779138 -0.164287  2.55619 -1.18105  -0.00158205 -0.19731  3.03271 -1.27968  -0.0776802 -0.164828  3.41075 -1.17406  
3.48717 0.0764202 -0.163258  2.56293 -1.17666  -0.00161008 -0.195247  3.03465 -1.27369  -0.0761447 -0.163659  3.4069 -1.17321  
3.55 0.0749657 -0.162247  2.56987 -1.17185  -0.00163492 -0.193233  3.03651 -1.26746  -0.0746522 -0.162502  3.40303 -1.17214  
3.61283 0.0735487 -0.161251  2.57699 -1.16666  -0.00165654 -0.191267  3.0383 -1.26099  -0.0732012 -0.161357  3.39914 -1.17083  
3.67566 0.0721679 -0.160269  2.58424 -1.1611  -0.00167496 -0.189346  3.04002 -1.25433  -0.0717903 -0.160224  3.39523 -1.1693  
3.7385 0.0708218 -0.159299  2.59161 -1.15521  -0.0016902 -0.187467  3.04166 -1.24748  -0.0704183 -0.159103  3.39132 -1.16755  
3.80133 0.0695091 -0.158341  2.59907 -1.14902  -0.00170228 -0.185629  3.04322 -1.24048  -0.0690838 -0.157993  3.3874 -1.16558  
3.86416 0.0682287 -0.157393  2.60659 -1.14256  -0.00171127 -0.18383  3.04469 -1.23334  -0.0677856 -0.156895  3.38348 -1.1634  
3.92699 0.0669794 -0.156455  2.61416 -1.13586  -0.00171722 -0.182067  3.04607 -1.22608  -0.0665225 -0.155809  3.37958 -1.16101  
3.98982 0.0657602 -0.155525  2.62174 -1.12894  -0.00172018 -0.180339  3.04737 -1.21873  -0.0652934 -0.154734  3.37568 -1.15842  
4.05265 0.0645699 -0.154602  2.62932 -1.12184  -0.00172025 -0.178645  3.04858 -1.2113  -0.0640971 -0.15367  3.3718 -1.15564  
4.11549 0.0634077 -0.153686  2.63688 -1.11459  -0.0017175 -0.176983  3.04969 -1.20381  -0.0629325 -0.152618  3.36795 -1.15268  
4.17832 0.0622727 -0.152776  2.6444 -1.10721  -0.00171202 -0.175352  3.05072 -1.19628  -0.0617987 -0.151577  3.36412 -1.14953  
